town,province,phase,slug,domain,discovery_date,posted_live_date,outreach_contact,outreach_date,response,notes
New Minas,NS,1,ca-nova-scotia-new-minas,ca-nova-scotia-new-minas.strollopia.com,,,,,not_started,
Berwick,NS,1,ca-nova-scotia-berwick,ca-nova-scotia-berwick.strollopia.com,,,,,not_started,
Windsor,NS,2,ca-nova-scotia-windsor,ca-nova-scotia-windsor.strollopia.com,,,,,not_started,
Middleton,NS,2,ca-nova-scotia-middleton,ca-nova-scotia-middleton.strollopia.com,,,,,not_started,
Bridgetown,NS,2,ca-nova-scotia-bridgetown,ca-nova-scotia-bridgetown.strollopia.com,,,,,not_started,
Annapolis Royal,NS,2,ca-nova-scotia-annapolis-royal,ca-nova-scotia-annapolis-royal.strollopia.com,,,,,not_started,
Lunenburg,NS,3,ca-nova-scotia-lunenburg,ca-nova-scotia-lunenburg.strollopia.com,,,,,not_started,
Mahone Bay,NS,3,ca-nova-scotia-mahone-bay,ca-nova-scotia-mahone-bay.strollopia.com,,,,,not_started,
Chester,NS,3,ca-nova-scotia-chester,ca-nova-scotia-chester.strollopia.com,,,,,not_started,
Digby,NS,3,ca-nova-scotia-digby,ca-nova-scotia-digby.strollopia.com,,,,,not_started,
Truro,NS,4,ca-nova-scotia-truro,ca-nova-scotia-truro.strollopia.com,,,,,not_started,
Bridgewater,NS,4,ca-nova-scotia-bridgewater,ca-nova-scotia-bridgewater.strollopia.com,,,,,not_started,
Yarmouth,NS,4,ca-nova-scotia-yarmouth,ca-nova-scotia-yarmouth.strollopia.com,,,,,not_started,
Antigonish,NS,4,ca-nova-scotia-antigonish,ca-nova-scotia-antigonish.strollopia.com,,,,,not_started,
