Store Name	latitude	longitude	_category	Province_Full	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday	_blurb
AmiSoleil	47.7570880	-65.0666782	Thrift Stores	New Brunswick	F: 09:00 T: 16:30	F: 09:00 T: 16:30	F: 09:00 T: 16:30	F: 09:00 T: 16:30	F: 09:00 T: 16:30	F: 09:00 T: 16:00	closed	<p>832 boul. des Acadiens, Bertrand, NB, E1W 1H4<br>(506) 727-6778</p>
Beats & Bytes	45.2864054	-66.0425903	Thrift Stores	New Brunswick	F: 10:00 T: 19:00	F: 10:00 T: 19:00	F: 10:00 T: 19:00	F: 10:00 T: 19:00	F: 10:00 T: 19:00	F: 10:00 T: 19:00	F: 11:00 T: 18:00	<p>8 Bayside Dr., Saint John, NB, E2J 1A2<br>(506) 652-2274</p>
Bellwether Consignment	45.9634730	-66.6442418	Thrift Stores	New Brunswick	closed	closed	F: 12:00 T: 17:00	F: 12:00 T: 18:00	F: 12:00 T: 18:00	F: 12:00 T: 17:00	closed	<p>384 Queen St., Fredericton, NB, E3B 1B3<br>(506) 454-4558</p>
Boutique 2e Look	46.1226150	-64.8541735	Thrift Stores	New Brunswick	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 19:00	F: 10:00 T: 17:00	F: 10:00 T: 16:00	closed	<p>1966 Mountain Rd, Moncton, NB, E1G 1A9<br>(506) 384-4757</p>
Boutique Encore	46.0912127	-64.7825742	Thrift Stores	New Brunswick	closed	F: 10:00 T: 17:30	F: 12:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 09:30 T: 17:30	closed	<p>475 St. George St, Moncton, NB, E1C 1Y4<br>(506) 384-1853</p>
Boutique Hospice Shoppe	46.0959836	-64.8053933	Thrift Stores	New Brunswick	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 20:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 12:00 T: 17:00	<p>164 Collishaw St., Moncton, NB, E1C 9R3<br>(506) 855-7467</p>
Changing Hands Thrift Shop Ltd	45.9496252	-66.6901198	Thrift Stores	New Brunswick	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 12:00 T: 17:00	<p>1245 Hanwell Rd, Fredericton, NB, E3C 1A6<br>506-472-6763</p>
Clothing Traders	47.0325085	-65.4859297	Thrift Stores	New Brunswick	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	closed	<p>2285 King George Hwy, Miramichi, NB, E1V 6S1<br>(506) 622-1655</p>
Comptoir vestimentaire de St-André	47.0796875	-67.7630627	Thrift Stores	New Brunswick	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 10:00 T: 15:00	closed	<p>265 route 255, Saint André, NB E3Y 3R3<br>(506) 473-6120</p>
Crazy Al's Liquidation Centre	46.1362582	-66.0430250	Thrift Stores	New Brunswick	closed	closed	closed	closed	closed	F: 10:00 T: 15:00	F: 12:00 T: 16:00	<p>5664 NB-10, Hardwood Ridge, NB E4A 1A4<br>(506) 326-9005</p>
Crystal's Emporium Thrift & Furniture	46.6741882	-64.8674297	Thrift Stores	New Brunswick	closed	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	closed	<p>9439 Main St., Richibucto, NB, E4W 4B8<br>(506) 523-9722</p>
Dayzee's Fashions Ltd	46.0521154	-64.7911369	Thrift Stores	New Brunswick	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 17:00	F: 12:00 T: 17:00	<p>541 Pinewood Rd., Riverview, NB, E1B 5M7<br>(506) 853-9323</p>
