name	lat	lng	category	subcategory	description	phone	website	address	hours_mon	hours_tue	hours_wed	hours_thu	hours_fri	hours_sat	hours_sun	image_file
Fort Anne Cafe	44.74310380000001	-65.51887909999999	Business	Cafe	"<b>Fort Anne Cafe</b><br><i>298 St George St, Annapolis Royal, NS B0S 0B3, Canada</i><br>Tel: (902) 532-5254<br><a href=""http://fortannecafe.ca/"">http://fortannecafe.ca/</a>"	(902) 532-5254	http://fortannecafe.ca/	298 St George St, Annapolis Royal, NS B0S 0B3, Canada	F: 11:00 T: 19:00	F: 11:00 T: 19:00	F: 11:00 T: 19:00	F: 11:00 T: 19:00	F: 11:00 T: 20:00	F: 11:00 T: 19:00	F: 12:00 T: 18:00	fort-anne-cafe.jpg
The Lequille Pizza Shop	44.7377777	-65.494049	Business	Restaurant	<b>The Lequille Pizza Shop</b><br><i>106 NS-201, Annapolis Royal, NS B0S 1A0, Canada</i><br>Tel: (902) 532-5207	(902) 532-5207		106 NS-201, Annapolis Royal, NS B0S 1A0, Canada	closed	F: 11:00 T: 19:00	F: 11:00 T: 19:00	F: 11:00 T: 19:00	F: 11:00 T: 20:00	F: 15:00 T: 20:00	F: 15:00 T: 19:00	the-lequille-pizza-shop.jpg
New Charlie's Place Restaurant Ltd	44.7408333	-65.5161111	Business	Restaurant	"<b>New Charlie's Place Restaurant Ltd</b><br><i>38 Prince Albert Rd, Annapolis Royal, NS B0S 0A8, Canada</i><br>Tel: (902) 532-2111<br><a href=""https://m.facebook.com/newcharlies.place?fref=ts"">https://m.facebook.com/newcharlies.place?fref=ts</a>"	(902) 532-2111	https://m.facebook.com/newcharlies.place?fref=ts	38 Prince Albert Rd, Annapolis Royal, NS B0S 0A8, Canada	closed	closed	F: 12:00 T: 19:00	F: 12:00 T: 19:00	F: 12:00 T: 19:30	F: 12:00 T: 19:30	F: 12:00 T: 19:00	new-charlie-s-place-restaurant-ltd.jpg
The Whimsical Fork	44.7435895	-65.51938679999999	Business	Restaurant	<b>The Whimsical Fork</b><br><i>272 St George St, Annapolis Royal, NS B0S 1A0, Canada</i>			272 St George St, Annapolis Royal, NS B0S 1A0, Canada	closed	F: 11:30 T: 19:00	F: 11:30 T: 19:00	F: 11:30 T: 19:00	F: 11:30 T: 20:00	F: 11:00 T: 20:00	F: 10:00 T: 20:00	the-whimsical-fork.jpg
Restaurant Composé	44.7445333	-65.5196278	Business	Restaurant	"<b>Restaurant Composé</b><br><i>235 St George St, Annapolis Royal, NS B0S 1A0, Canada</i><br>Tel: (902) 532-1251<br><a href=""https://www.restaurantcompose.com/"">https://www.restaurantcompose.com/</a>"	(902) 532-1251	https://www.restaurantcompose.com/	235 St George St, Annapolis Royal, NS B0S 1A0, Canada	F: 17:00 T: 20:00	F: 17:00 T: 20:00	F: 17:00 T: 20:00	closed	F: 17:00 T: 20:00	F: 17:00 T: 20:00	F: 17:00 T: 20:00	restaurant-compose.jpg
The Whiskey Teller	44.74528979999999	-65.5186843	Business	Bar	"<b>The Whiskey Teller</b><br><i>9 Church St, Annapolis Royal, NS B0S 1A0, Canada</i><br>Tel: (902) 532-0000<br><a href=""http://thewhiskeyteller.com/"">http://thewhiskeyteller.com/</a>"	(902) 532-0000	http://thewhiskeyteller.com/	9 Church St, Annapolis Royal, NS B0S 1A0, Canada								the-whiskey-teller.jpg
Maison St George	44.7426347	-65.5167979	Business	Restaurant	"<b>Maison St George</b><br><i>350 St George St, Annapolis Royal, NS B0S 1A0, Canada</i><br>Tel: (902) 955-1854<br><a href=""http://www.maisonstgeorge.com/"">http://www.maisonstgeorge.com/</a>"	(902) 955-1854	http://www.maisonstgeorge.com/	350 St George St, Annapolis Royal, NS B0S 1A0, Canada	F: 11:30 T: 20:00	closed	closed	F: 11:30 T: 20:00	F: 11:30 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	maison-st-george.jpg
Brown Dog Kitchen	44.74135709999999	-65.5080893	Business	Restaurant	"<b>Brown Dog Kitchen</b><br><i>143 Ritchie St, Annapolis Royal, NS B0S 1A0, Canada</i><br>Tel: (902) 526-0554<br><a href=""http://www.browndogkitchen.ca/"">http://www.browndogkitchen.ca/</a>"	(902) 526-0554	http://www.browndogkitchen.ca/	143 Ritchie St, Annapolis Royal, NS B0S 1A0, Canada	F: 08:30 T: 14:00	F: 08:30 T: 14:00	F: 08:30 T: 14:00	F: 08:30 T: 14:00	F: 08:30 T: 14:00	F: 08:00 T: 13:30	closed	brown-dog-kitchen.jpg
Tom's Cool Bus Canteen	44.7543267	-65.5133317	Business	Restaurant	<b>Tom's Cool Bus Canteen</b><br><i>222 Hwy 1, Granville Ferry, NS B0S 0B3, Canada</i>			222 Hwy 1, Granville Ferry, NS B0S 0B3, Canada	F: 11:00 T: 19:00	F: 11:00 T: 19:00	F: 11:00 T: 19:00	F: 11:00 T: 19:00	F: 11:00 T: 19:00	closed	F: 12:00 T: 19:00	tom-s-cool-bus-canteen.jpg
Lazy Daisy Café	44.7448363	-65.5191699	Business	Cafe	"<b>Lazy Daisy Café</b><br><i>220 St George St, Annapolis Royal, NS B0S 1A0, Canada</i><br>Tel: (902) 532-1222<br><a href=""http://lazydaisycafe.square.site/"">http://lazydaisycafe.square.site/</a>"	(902) 532-1222	http://lazydaisycafe.square.site/	220 St George St, Annapolis Royal, NS B0S 1A0, Canada	F: 09:00 T: 15:00	F: 09:00 T: 15:00	F: 09:00 T: 15:00	F: 09:00 T: 15:00	F: 09:00 T: 15:00	F: 09:00 T: 15:00	closed	lazy-daisy-cafe.jpg
