name	lat	lng	category	subcategory	description	phone	website	address	hours_mon	hours_tue	hours_wed	hours_thu	hours_fri	hours_sat	hours_sun	image_file
Inverary Resort	46.0963322	-60.7563076	Business	Accommodation	"<b>Inverary Resort</b> — Rooms, suites & cottages on a lakeside retreat offering water activities, a spa & a chapel.<br><i>368 Shore Rd, Baddeck, NS B0E 1B0, Canada</i><br>Tel: (902) 295-3500<br><a href=""http://inveraryresort.com/"">http://inveraryresort.com/</a>"	(902) 295-3500	http://inveraryresort.com/	368 Shore Rd, Baddeck, NS B0E 1B0, Canada	closed	closed	closed	closed	closed	closed	F: 00:00 T: 23:59	inverary-resort.jpg
Silver Dart Lodge	46.095354	-60.7618591	Business	Accommodation	"<b>Silver Dart Lodge</b> — Straightforward rooms & chalets in a lakeside lodge with an outdoor pool, a beach & a casual eatery.<br><i>257 Shore Rd, Baddeck, NS B0E 1B0, Canada</i><br>Tel: (902) 295-2340<br><a href=""http://www.silverdartlodge.com/"">http://www.silverdartlodge.com/</a>"	(902) 295-2340	http://www.silverdartlodge.com/	257 Shore Rd, Baddeck, NS B0E 1B0, Canada	closed	closed	closed	closed	closed	closed	F: 00:00 T: 23:59	silver-dart-lodge.jpg
Cabot Trail Motel & Cabot Restaurant	46.0838623	-60.79149619999999	Business	Accommodation	"<b>Cabot Trail Motel & Cabot Restaurant</b> — Down-to-earth rooms & chalets with lake views, plus a restaurant, a private beach & an outdoor pool.<br><i>8448 Trans-Canada Hwy #105, Baddeck, NS B0E 1B0, Canada</i><br>Tel: (902) 295-2580<br><a href=""https://www.cabottrailmotel.com/"">https://www.cabottrailmotel.com/</a>"	(902) 295-2580	https://www.cabottrailmotel.com/	8448 Trans-Canada Hwy #105, Baddeck, NS B0E 1B0, Canada								cabot-trail-motel-cabot-restaurant.jpg
Tim Hortons	46.0878561	-60.7804093	Business	Cafe	"<b>Tim Hortons</b> — Canadian chain for signature premium-blend coffee, plus light fare, pastries & breakfast sandwiches.<br><i>8250 Shore Rd, Baddeck, NS B0E 1B0, Canada</i><br>Tel: (902) 295-2118<br><a href=""https://locations.timhortons.ca/en/ns/baddeck/8250-shore-rd-hwy/"">https://locations.timhortons.ca/en/ns/baddeck/8250-shore-rd-hwy/</a>"	(902) 295-2118	https://locations.timhortons.ca/en/ns/baddeck/8250-shore-rd-hwy/	8250 Shore Rd, Baddeck, NS B0E 1B0, Canada	F: 05:00 T: 22:00	F: 05:00 T: 22:00	F: 05:00 T: 22:00	F: 05:00 T: 22:00	F: 05:00 T: 22:00	F: 05:00 T: 22:00	F: 05:00 T: 22:00	tim-hortons.jpg
Alexander Graham Bell Museum Store	46.10340859999999	-60.7455352	Business	Shops	"<b>Alexander Graham Bell Museum Store</b><br><i>559 Chebucto St, Baddeck, NS B0E 1B0, Canada</i><br>Tel: (902) 295-1643<br><a href=""https://agbmuseumstore.com/"">https://agbmuseumstore.com/</a>"	(902) 295-1643	https://agbmuseumstore.com/	559 Chebucto St, Baddeck, NS B0E 1B0, Canada	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	alexander-graham-bell-museum-store.jpg
Bell Buoy Bistro	46.100936	-60.7477848	Business	Restaurant	"<b>Bell Buoy Bistro</b> — Informal neighbourhood meat & seafood eatery with water views, outdoor seating & vegetarian options.<br><i>536 Chebucto St, Baddeck, NS B0E 1B0, Canada</i><br>Tel: (902) 295-2581<br><a href=""http://bellbuoy.ca/"">http://bellbuoy.ca/</a>"	(902) 295-2581	http://bellbuoy.ca/	536 Chebucto St, Baddeck, NS B0E 1B0, Canada								bell-buoy-bistro.jpg
Baddeck Lobster Suppers	46.0972321	-60.75489709999999	Business	Restaurant	"<b>Baddeck Lobster Suppers</b> — This no-nonsense, family-run establishment specializes in locally caught fish & shellfish.<br><i>17 Ross St, Baddeck, NS B0E 1B0, Canada</i><br>Tel: (902) 295-3307<br><a href=""http://baddecklobstersuppers.ca/"">http://baddecklobstersuppers.ca/</a>"	(902) 295-3307	http://baddecklobstersuppers.ca/	17 Ross St, Baddeck, NS B0E 1B0, Canada	F: 16:00 T: 20:00	F: 16:00 T: 20:00	F: 16:00 T: 20:00	F: 16:00 T: 20:00	F: 16:00 T: 20:00	F: 16:00 T: 20:00	closed	baddeck-lobster-suppers.jpg
Salt Rock Restaurant	46.09930939999999	-60.7542182	Business	Restaurant	"<b>Salt Rock Restaurant</b><br><i>Baddeck, NS B0E 1B0, Canada</i><br>Tel: (902) 295-1995<br><a href=""https://www.lynwoodinn.com/restaurant"">https://www.lynwoodinn.com/restaurant</a>"	(902) 295-1995	https://www.lynwoodinn.com/restaurant	Baddeck, NS B0E 1B0, Canada	F: 11:30 T: 20:30	F: 11:30 T: 20:30	F: 11:30 T: 20:30	F: 11:30 T: 20:30	F: 11:30 T: 20:30	F: 11:30 T: 20:30	F: 11:30 T: 20:30	salt-rock-restaurant.jpg
Tom's Pizza	46.0997585	-60.75272179999999	Business	Restaurant	"<b>Tom's Pizza</b> — Laid-back, family-owned pizza parlor since 1985 with live music evenings & locally brewed beer.<br><i>464 Chebucto St, Baddeck, NS B0E 1B0, Canada</i><br>Tel: (902) 295-1516<br><a href=""http://tomspizzabaddeck.com/"">http://tomspizzabaddeck.com/</a>"	(902) 295-1516	http://tomspizzabaddeck.com/	464 Chebucto St, Baddeck, NS B0E 1B0, Canada	F: 11:00 T: 23:00	F: 11:00 T: 23:00	F: 11:00 T: 23:00	F: 11:00 T: 23:00	F: 11:00 T: 23:00	F: 11:00 T: 23:00	closed	tom-s-pizza.jpg
The cable room at The Telegraph House	46.1000537	-60.7524892	Business	Restaurant	"<b>The cable room at The Telegraph House</b><br><i>479 NS-205, Baddeck, NS B0E 1B0, Canada</i><br>Tel: (902) 295-1100<br><a href=""https://www.cableroom.net/"">https://www.cableroom.net/</a>"	(902) 295-1100	https://www.cableroom.net/	479 NS-205, Baddeck, NS B0E 1B0, Canada	F: 17:00 T: 20:30	F: 17:00 T: 20:30	F: 17:00 T: 20:30	F: 17:00 T: 20:30	F: 17:00 T: 20:30	F: 17:00 T: 20:30	F: 17:00 T: 20:30	the-cable-room-at-the-telegraph-house.jpg
