name	lat	lng	category	subcategory	description	phone	website	address	hours_mon	hours_tue	hours_wed	hours_thu	hours_fri	hours_sat	hours_sun	image_file
Tim Hortons	44.9762802	-63.50645159999999	Business	Food	"<b>Tim Hortons</b> — Canadian chain for signature premium-blend coffee, plus light fare, pastries & breakfast sandwiches.<br><i>267 NS-214, Elmsdale, NS B2S 1K1, Canada</i><br>Tel: (902) 883-1980<br><a href=""https://locations.timhortons.ca/en/ns/elmsdale/267-hwy-214/"">https://locations.timhortons.ca/en/ns/elmsdale/267-hwy-214/</a>"	(902) 883-1980	https://locations.timhortons.ca/en/ns/elmsdale/267-hwy-214/	267 NS-214, Elmsdale, NS B2S 1K1, Canada	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	tim-hortons.jpg
Pizza Delight	44.976904	-63.505149	Business	Restaurant	"<b>Pizza Delight</b><br><i>269 NS-214, Elmsdale, NS B2S 1K1, Canada</i><br>Tel: (902) 883-3232<br><a href=""https://www.pizzadelight.com/?utm_source=G&utm_medium=LPM&utm_campaign=MTY"">https://www.pizzadelight.com/?utm_source=G&utm_medium=LPM&utm_campaign=MTY</a>"	(902) 883-3232	https://www.pizzadelight.com/?utm_source=G&utm_medium=LPM&utm_campaign=MTY	269 NS-214, Elmsdale, NS B2S 1K1, Canada	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 21:00	pizza-delight.jpg
Subway	44.9780518	-63.50618890000001	Business	Restaurant	"<b>Subway</b> — Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.<br><i>56 Mason Ln, Elmsdale, NS B2S 1K1, Canada</i><br>Tel: (902) 883-7827<br><a href=""https://restaurants.subway.com/canada/ns/elmsdale/56-mason-lane?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=17646&utm_campaign=evergreen-2020&y_source=1_MTQ5MjEyNTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D"">https://restaurants.subway.com/canada/ns/elmsdale/56-mason-lane?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=17646&utm_campaign=evergreen-2020&y_source=1_MTQ5MjEyNTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D</a>"	(902) 883-7827	https://restaurants.subway.com/canada/ns/elmsdale/56-mason-lane?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=17646&utm_campaign=evergreen-2020&y_source=1_MTQ5MjEyNTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D	56 Mason Ln, Elmsdale, NS B2S 1K1, Canada	F: 07:00 T: 20:00	F: 07:00 T: 21:00	F: 07:00 T: 22:00	F: 07:00 T: 22:00	F: 07:00 T: 22:00	F: 08:00 T: 22:00	F: 08:00 T: 21:00	subway.jpg
Cup of Soul Cafe	44.9705821	-63.5053699	Business	Cafe	<b>Cup of Soul Cafe</b><br><i>7 Horne Rd #1, Elmsdale, NS B2S 1J1, Canada</i><br>Tel: (902) 883-0074	(902) 883-0074		7 Horne Rd #1, Elmsdale, NS B2S 1J1, Canada	F: 07:00 T: 15:00	F: 07:00 T: 15:00	F: 07:00 T: 15:00	F: 07:00 T: 15:00	F: 07:00 T: 15:00	F: 07:00 T: 15:00	F: 07:00 T: 15:00	cup-of-soul-cafe.jpg
A&W Canada	44.975345	-63.5079	Business	Restaurant	"<b>A&W Canada</b> — Fast-food outlet serving up namesake root beer, plus burgers, chicken & fries.<br><i>250 NS-214, Elmsdale, NS B2S 1J9, Canada</i><br>Tel: (902) 883-0316<br><a href=""https://web.aw.ca/"">https://web.aw.ca/</a>"	(902) 883-0316	https://web.aw.ca/	250 NS-214, Elmsdale, NS B2S 1J9, Canada	F: 06:00 T: 22:00	F: 06:00 T: 22:00	F: 06:00 T: 22:00	F: 06:00 T: 22:00	F: 06:00 T: 22:00	F: 06:00 T: 22:00	F: 06:00 T: 22:00	a-w-canada.jpg
Bento Sushi	44.9816337	-63.5087708	Business	Restaurant	"<b>Bento Sushi</b><br><i>295 NS-214, Elmsdale, NS B2S 2L1, Canada</i><br><a href=""https://www.bentosushi.com/"">https://www.bentosushi.com/</a>"		https://www.bentosushi.com/	295 NS-214, Elmsdale, NS B2S 2L1, Canada								bento-sushi.jpg
Good Robot Brewing (Elmsdale) - Beer Garden - Craft Beer - Beer Store - The Beverage Factory	44.9758961	-63.51113059999999	Business	Bar	"<b>Good Robot Brewing (Elmsdale) - Beer Garden - Craft Beer - Beer Store - The Beverage Factory</b><br><i>14 Industrial Way, Elmsdale, NS B2S 2L4, Canada</i><br>Tel: (902) 497-0716<br><a href=""https://goodrobotbrewing.ca/elmsdale/"">https://goodrobotbrewing.ca/elmsdale/</a>"	(902) 497-0716	https://goodrobotbrewing.ca/elmsdale/	14 Industrial Way, Elmsdale, NS B2S 2L4, Canada	closed	closed	F: 12:00 T: 20:00	F: 12:00 T: 20:00	F: 12:00 T: 22:00	F: 12:00 T: 22:00	F: 12:00 T: 20:00	good-robot-brewing-elmsdale-beer-garden-craft-beer-beer-store-the-beverage-factory.jpg
Wing Fu Restaurant	44.9773742	-63.50475839999999	Business	Restaurant	"<b>Wing Fu Restaurant</b><br><i>269 NS-214, Elmsdale, NS B2S 1K1, Canada</i><br>Tel: (902) 883-3188<br><a href=""https://wingfurestaurant.com/"">https://wingfurestaurant.com/</a>"	(902) 883-3188	https://wingfurestaurant.com/	269 NS-214, Elmsdale, NS B2S 1K1, Canada	F: 12:00 T: 20:00	F: 12:00 T: 20:00	F: 12:00 T: 20:00	F: 12:00 T: 21:00	F: 12:00 T: 21:00	F: 12:00 T: 21:00	F: 16:00 T: 20:00	wing-fu-restaurant.jpg
McDonald's	44.9756155	-63.50680969999999	Business	Cafe	"<b>McDonald's</b> — Classic, long-running fast-food chain known for its burgers & fries.<br><i>257 Highway #214, Elmsdale, NS B2S 1J1, Canada</i><br>Tel: (902) 883-1455<br><a href=""https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html?y_source=1_MTQ1MTk3NzYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D"">https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html?y_source=1_MTQ1MTk3NzYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D</a>"	(902) 883-1455	https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html?y_source=1_MTQ1MTk3NzYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D	257 Highway #214, Elmsdale, NS B2S 1J1, Canada	closed	closed	closed	closed	closed	closed	F: 00:00 T: 23:59	mcdonald-s.jpg
Roxie's Kitchen	44.9854594	-63.4890266	Business	Restaurant	"<b>Roxie's Kitchen</b><br><i>Nova Scotia, NS-2, Lantz, NS B2S 1M8, Canada</i><br>Tel: (902) 883-9906<br><a href=""https://www.easthants.ca/sportsplex/"">https://www.easthants.ca/sportsplex/</a>"	(902) 883-9906	https://www.easthants.ca/sportsplex/	Nova Scotia, NS-2, Lantz, NS B2S 1M8, Canada	closed	closed	closed	closed	F: 17:00 T: 22:00	F: 08:00 T: 22:00	closed	roxie-s-kitchen.jpg
