name	lat	lng	category	subcategory	description	phone	website	address	hours_mon	hours_tue	hours_wed	hours_thu	hours_fri	hours_sat	hours_sun	image_file
Subway	45.0427005	-64.7354324	Business	Restaurant	"<b>Subway</b> — Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.<br><i>189 Commercial St, Berwick, NS B0P 1E0, Canada</i><br>Tel: (902) 538-0512<br><a href=""https://restaurants.subway.com/canada/ns/berwick/189-commercial-street?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=27711&utm_campaign=evergreen-2020&y_source=1_MTQ5MTk1NjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D"">https://restaurants.subway.com/canada/ns/berwick/189-commercial-street?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=27711&utm_campaign=evergreen-2020&y_source=1_MTQ5MTk1NjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D</a>"	(902) 538-0512	https://restaurants.subway.com/canada/ns/berwick/189-commercial-street?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=27711&utm_campaign=evergreen-2020&y_source=1_MTQ5MTk1NjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D	189 Commercial St, Berwick, NS B0P 1E0, Canada	F: 07:30 T: 22:00	F: 07:30 T: 22:00	F: 07:30 T: 22:00	F: 07:30 T: 22:00	F: 07:30 T: 22:00	F: 07:30 T: 22:00	F: 09:00 T: 22:00	subway.jpg
Tim Hortons	45.0429822	-64.7356376	Business	Food	"<b>Tim Hortons</b> — Canadian chain for signature premium-blend coffee, plus light fare, pastries & breakfast sandwiches.<br><i>193 Commercial St, Berwick, NS B0P 1E0, Canada</i><br>Tel: (902) 538-1104<br><a href=""https://locations.timhortons.ca/en/ns/berwick/193-commercial-st/"">https://locations.timhortons.ca/en/ns/berwick/193-commercial-st/</a>"	(902) 538-1104	https://locations.timhortons.ca/en/ns/berwick/193-commercial-st/	193 Commercial St, Berwick, NS B0P 1E0, Canada	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	tim-hortons.jpg
Kellocks Restaurant	45.0404698	-64.73405319999999	Business	Restaurant	"<b>Kellocks Restaurant</b><br><i>160 Commercial St, Berwick, NS B0P 1E0, Canada</i><br>Tel: (902) 538-5525<br><a href=""https://m.facebook.com/kellocksrestaurant/"">https://m.facebook.com/kellocksrestaurant/</a>"	(902) 538-5525	https://m.facebook.com/kellocksrestaurant/	160 Commercial St, Berwick, NS B0P 1E0, Canada	F: 16:00 T: 20:00	F: 16:00 T: 20:00	F: 16:00 T: 20:00	F: 16:00 T: 20:00	F: 16:00 T: 20:00	F: 16:00 T: 20:00	closed	kellocks-restaurant.jpg
Jonnys Cookhouse and Ice Cream Shop	45.0329861	-64.7366593	Business	Restaurant	"<b>Jonnys Cookhouse and Ice Cream Shop</b><br><i>4287 Evangeline Trl, Berwick, NS B0P 1E0, Canada</i><br>Tel: (902) 375-3033<br><a href=""http://www.jonnysberwick.com/"">http://www.jonnysberwick.com/</a>"	(902) 375-3033	http://www.jonnysberwick.com/	4287 Evangeline Trl, Berwick, NS B0P 1E0, Canada	closed	closed	closed	F: 11:00 T: 19:00	F: 11:00 T: 19:00	F: 11:00 T: 19:00	F: 11:00 T: 19:00	jonnys-cookhouse-and-ice-cream-shop.jpg
Wheaton's Cider Press Cafe	45.05287929999999	-64.7392807	Business	Restaurant	<b>Wheaton's Cider Press Cafe</b><br><i>301 Commercial St, Berwick, NS B0P 1E0, Canada</i><br>Tel: (902) 538-1445	(902) 538-1445		301 Commercial St, Berwick, NS B0P 1E0, Canada	F: 09:00 T: 15:00	F: 09:00 T: 15:00	F: 09:00 T: 15:00	F: 09:00 T: 15:00	F: 09:00 T: 15:00	F: 09:00 T: 15:00	closed	wheaton-s-cider-press-cafe.jpg
The Union Street	45.042371	-64.73523999999999	Business	Restaurant	"<b>The Union Street</b><br><i>183 Commercial St, Berwick, NS B0P 0A5, Canada</i><br>Tel: (782) 232-6610<br><a href=""https://theunionstreet.com/"">https://theunionstreet.com/</a>"	(782) 232-6610	https://theunionstreet.com/	183 Commercial St, Berwick, NS B0P 0A5, Canada	closed	F: 11:00 T: 20:00	F: 11:00 T: 20:00	F: 11:00 T: 20:00	F: 11:00 T: 20:00	F: 11:00 T: 20:00	F: 11:00 T: 20:00	the-union-street.jpg
Mila Pizza	45.0453457	-64.7362813	Business	Restaurant	"<b>Mila Pizza</b><br><i>227 Commercial St, Berwick, NS B0P 1E0, Canada</i><br>Tel: (902) 538-5550<br><a href=""http://milapizza.com/"">http://milapizza.com/</a>"	(902) 538-5550	http://milapizza.com/	227 Commercial St, Berwick, NS B0P 1E0, Canada	F: 16:00 T: 19:00	closed	F: 11:00 T: 19:00	F: 11:00 T: 19:00	F: 11:00 T: 20:00	F: 11:00 T: 20:00	F: 16:00 T: 19:00	mila-pizza.jpg
Woodfired Kitchen	45.0417309	-64.7351734	Business	Restaurant	"<b>Woodfired Kitchen</b><br><i>175 Commercial St Unit 3, Berwick, NS B0P 1E0, Canada</i><br>Tel: (902) 375-2226<br><a href=""https://woodfiredkitchen.ca/?fbclid=IwRlRTSAQHCfxleHRuA2FlbQIxMABzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEeTqiPwRI97injJbLdF2A9tpNvMudHUXRJVxg5fSBbE-XdC8jCKDRQIOiq8ys_aem_ka20BQb3DzmWYWZscyMDTQ"">https://woodfiredkitchen.ca/?fbclid=IwRlRTSAQHCfxleHRuA2FlbQIxMABzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEeTqiPwRI97injJbLdF2A9tpNvMudHUXRJVxg5fSBbE-XdC8jCKDRQIOiq8ys_aem_ka20BQb3DzmWYWZscyMDTQ</a>"	(902) 375-2226	https://woodfiredkitchen.ca/?fbclid=IwRlRTSAQHCfxleHRuA2FlbQIxMABzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEeTqiPwRI97injJbLdF2A9tpNvMudHUXRJVxg5fSBbE-XdC8jCKDRQIOiq8ys_aem_ka20BQb3DzmWYWZscyMDTQ	175 Commercial St Unit 3, Berwick, NS B0P 1E0, Canada	closed	F: 11:30 T: 19:30	F: 11:30 T: 19:30	F: 11:30 T: 19:30	F: 11:30 T: 19:30	F: 11:30 T: 19:30	F: 11:30 T: 19:30	woodfired-kitchen.jpg
Luigi's Pizza Palace	45.0403852	-64.734606	Business	Restaurant	<b>Luigi's Pizza Palace</b><br><i>159 Commercial St, Berwick, NS B0P 0A5, Canada</i><br>Tel: (902) 538-9606	(902) 538-9606		159 Commercial St, Berwick, NS B0P 0A5, Canada	closed	F: 11:30 T: 20:00	F: 11:30 T: 20:00	F: 11:30 T: 20:00	F: 11:30 T: 20:00	F: 12:00 T: 20:00	closed	luigi-s-pizza-palace.jpg
Salad Acres 2004 Inc	45.0389252	-64.6863821	Business	Restaurant	<b>Salad Acres 2004 Inc</b><br><i>3662 Nova Scotia Trunk 1, Berwick, NS B0P 1E0, Canada</i>			3662 Nova Scotia Trunk 1, Berwick, NS B0P 1E0, Canada								
