name	lat	lng	category	subcategory	description	phone	website	address	hours_mon	hours_tue	hours_wed	hours_thu	hours_fri	hours_sat	hours_sun	image_file
Tim Hortons	44.9913491	-64.9394417	Business	Cafe	"<b>Tim Hortons</b> — Canadian chain for signature premium-blend coffee, plus light fare, pastries & breakfast sandwiches.<br><i>806 Main St, Kingston, NS B0P 1R0, Canada</i><br>Tel: (902) 765-0290<br><a href=""https://locations.timhortons.ca/en/ns/kingston/806-main-st"">https://locations.timhortons.ca/en/ns/kingston/806-main-st</a>"	(902) 765-0290	https://locations.timhortons.ca/en/ns/kingston/806-main-st	806 Main St, Kingston, NS B0P 1R0, Canada	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	tim-hortons.jpg
A&W Canada	44.968442	-64.925265	Business	Restaurant	"<b>A&W Canada</b> — Fast-food outlet serving up namesake root beer, plus burgers, chicken & fries.<br><i>Food Court, 963 Central Ave, Greenwood, NS B0P 1N0, Canada</i><br>Tel: (902) 765-8113<br><a href=""https://web.aw.ca/"">https://web.aw.ca/</a>"	(902) 765-8113	https://web.aw.ca/	Food Court, 963 Central Ave, Greenwood, NS B0P 1N0, Canada	F: 09:00 T: 19:00	F: 09:00 T: 19:00	F: 09:00 T: 19:00	F: 09:00 T: 19:00	F: 09:00 T: 19:00	F: 09:00 T: 18:00	F: 11:30 T: 17:00	a-w-canada.jpg
Green Elephant Café	44.98895100000001	-64.945888	Business	Cafe	"<b>Green Elephant Café</b><br><i>687 Main St, Kingston, NS B0P 0A1, Canada</i><br>Tel: (902) 765-8558<br><a href=""http://greenelephantcafe.ca/"">http://greenelephantcafe.ca/</a>"	(902) 765-8558	http://greenelephantcafe.ca/	687 Main St, Kingston, NS B0P 0A1, Canada	F: 07:00 T: 16:00	F: 07:00 T: 16:00	F: 07:00 T: 16:00	F: 07:00 T: 16:00	F: 07:00 T: 19:00	F: 07:00 T: 16:00	F: 08:00 T: 16:00	green-elephant-cafe.jpg
Bao Phu Restaurant	44.98580909999999	-64.9548093	Business	Restaurant	"<b>Bao Phu Restaurant</b><br><i>463 Main St, Kingston, NS B0P 0A3, Canada</i><br>Tel: (902) 242-8899<br><a href=""http://facebook.com/baophurestaurant"">http://facebook.com/baophurestaurant</a>"	(902) 242-8899	http://facebook.com/baophurestaurant	463 Main St, Kingston, NS B0P 0A3, Canada	closed	F: 16:00 T: 19:00	F: 16:00 T: 19:00	F: 16:00 T: 19:00	F: 16:00 T: 19:00	F: 16:00 T: 19:00	F: 16:00 T: 19:00	bao-phu-restaurant.jpg
Mary Brown's Chicken	44.97027	-64.93902	Business	Restaurant	"<b>Mary Brown's Chicken</b> — Counter-serve choice known for its breaded chicken, wings, wraps & signature potato wedges.<br><i>1128 Bridge St, Greenwood, NS B0P 1N0, Canada</i><br>Tel: (902) 765-8691<br><a href=""https://marybrowns.com/locations"">https://marybrowns.com/locations</a>"	(902) 765-8691	https://marybrowns.com/locations	1128 Bridge St, Greenwood, NS B0P 1N0, Canada	F: 10:30 T: 22:00	F: 10:30 T: 22:00	F: 10:30 T: 22:00	F: 10:30 T: 22:00	F: 10:30 T: 22:00	F: 10:30 T: 22:00	F: 10:30 T: 22:00	mary-brown-s-chicken.jpg
KFC	44.969132	-64.9393817	Business	Restaurant	"<b>KFC</b> — Restaurant chain known for its buckets of fried chicken, plus combo meals & sides.<br><i>731 Central Ave, Greenwood, NS B0P 1N0, Canada</i><br>Tel: (902) 765-4864<br><a href=""http://kfc.ca/?utm_source=gbp&utm_medium=yext"">http://kfc.ca/?utm_source=gbp&utm_medium=yext</a>"	(902) 765-4864	http://kfc.ca/?utm_source=gbp&utm_medium=yext	731 Central Ave, Greenwood, NS B0P 1N0, Canada	F: 10:00 T: 00:00	F: 10:00 T: 00:00	F: 10:00 T: 00:00	F: 10:00 T: 00:00	F: 10:00 T: 00:00	F: 10:00 T: 00:00	F: 10:00 T: 00:00	kfc.jpg
Sushi Yame	44.9679301	-64.923312	Business	Restaurant	<b>Sushi Yame</b><br><i>1065 Central Ave, Greenwood, NS B0P 1N0, Canada</i><br>Tel: (902) 765-8886	(902) 765-8886		1065 Central Ave, Greenwood, NS B0P 1N0, Canada	closed	F: 11:00 T: 20:00	F: 11:00 T: 20:00	F: 11:00 T: 20:00	F: 11:00 T: 20:00	F: 11:00 T: 20:00	F: 12:00 T: 20:00	sushi-yame.jpg
Pizza Delight	44.971144	-64.935836	Business	Restaurant	"<b>Pizza Delight</b><br><i>801 Central Ave, Greenwood, NS B0P 1N0, Canada</i><br>Tel: (902) 765-4477<br><a href=""https://www.pizzadelight.com/?utm_source=G&utm_medium=LPM&utm_campaign=MTY"">https://www.pizzadelight.com/?utm_source=G&utm_medium=LPM&utm_campaign=MTY</a>"	(902) 765-4477	https://www.pizzadelight.com/?utm_source=G&utm_medium=LPM&utm_campaign=MTY	801 Central Ave, Greenwood, NS B0P 1N0, Canada	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 11:00 T: 21:00	pizza-delight.jpg
Mimie's Pizza	44.9675397	-64.9414216	Business	Restaurant	"<b>Mimie's Pizza</b><br><i>683 Central Ave, Greenwood, NS B0P 1N0, Canada</i><br>Tel: (902) 765-2232<br><a href=""https://www.facebook.com/Mimie'sPizza/"">https://www.facebook.com/Mimie'sPizza/</a>"	(902) 765-2232	https://www.facebook.com/Mimie'sPizza/	683 Central Ave, Greenwood, NS B0P 1N0, Canada								mimie-s-pizza.jpg
Dairy Queen Grill & Chill	44.97012849999999	-64.9398771	Business	Shops	"<b>Dairy Queen Grill & Chill</b> — Soft-serve ice cream & signature shakes top the menu at this classic burger & fries fast-food chain.<br><i>1135 Bridge St, Greenwood, NS B0P 1N0, Canada</i><br>Tel: (902) 765-8764<br><a href=""https://www.dairyqueen.com/en-ca/locations/ns/greenwood/1135-bridge-st/2041/?utm_source=organic&utm_campaign=yext%2F&y_source=1_ODk5NDU2NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D"">https://www.dairyqueen.com/en-ca/locations/ns/greenwood/1135-bridge-st/2041/?utm_source=organic&utm_campaign=yext%2F&y_source=1_ODk5NDU2NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D</a>"	(902) 765-8764	https://www.dairyqueen.com/en-ca/locations/ns/greenwood/1135-bridge-st/2041/?utm_source=organic&utm_campaign=yext%2F&y_source=1_ODk5NDU2NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D	1135 Bridge St, Greenwood, NS B0P 1N0, Canada	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	dairy-queen-grill-chill.jpg
McDonald's	44.9682079	-64.9286992	Business	Cafe	"<b>McDonald's</b> — Classic, long-running fast-food chain known for its burgers & fries.<br><i>954 Central Ave, Greenwood, NS B0P 1N0, Canada</i><br>Tel: (902) 765-6381<br><a href=""https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html?y_source=1_MTQ1MTkzOTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D"">https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html?y_source=1_MTQ1MTkzOTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D</a>"	(902) 765-6381	https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html?y_source=1_MTQ1MTkzOTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D	954 Central Ave, Greenwood, NS B0P 1N0, Canada	closed	closed	closed	closed	closed	closed	F: 00:00 T: 23:59	mcdonald-s.jpg
J&R Pizzeria	44.988359	-64.9472328	Business	Restaurant	<b>J&R Pizzeria</b><br><i>663 Main St, Kingston, NS B0P 0A1, Canada</i><br>Tel: (902) 765-6111	(902) 765-6111		663 Main St, Kingston, NS B0P 0A1, Canada	F: 15:00 T: 20:00	F: 15:00 T: 20:00	F: 15:00 T: 20:00	F: 15:00 T: 20:00	F: 14:30 T: 20:30	F: 14:30 T: 20:30	F: 15:30 T: 19:00	j-r-pizzeria.jpg
