name	lat	lng	category	subcategory	description	phone	website	address	hours_mon	hours_tue	hours_wed	hours_thu	hours_fri	hours_sat	hours_sun	image_file
Bluenose Lodge	44.378361	-64.31743399999999	Business	Accommodation	"<b>Bluenose Lodge</b> — Warm antiques-filled rooms & suites in a Second Empire-style B&B offering common areas.<br><i>10 Falkland St, Lunenburg, NS B0J 2C0, Canada</i><br>Tel: (902) 634-8851<br><a href=""http://www.bluenoselodge.ca/index.html"">http://www.bluenoselodge.ca/index.html</a>"	(902) 634-8851	http://www.bluenoselodge.ca/index.html	10 Falkland St, Lunenburg, NS B0J 2C0, Canada								bluenose-lodge.jpg
The Dockside Inn & Restaurant	44.3764349	-64.3108326	Business	Accommodation	"<b>The Dockside Inn & Restaurant</b> — Unpretentious inn offering harbour views, a restaurant & a bar, as well as complimentary Wi-Fi.<br><i>84 Montague St, Lunenburg, NS B0J 2C0, Canada</i><br>Tel: (902) 634-3005<br><a href=""https://docksider.ca/"">https://docksider.ca/</a>"	(902) 634-3005	https://docksider.ca/	84 Montague St, Lunenburg, NS B0J 2C0, Canada								the-dockside-inn-restaurant.jpg
Subway	44.3762593	-64.3098736	Business	Restaurant	"<b>Subway</b> — Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.<br><i>116 Montague St, Lunenburg, NS B0J 2C0, Canada</i><br>Tel: (902) 634-3800<br><a href=""https://restaurants.subway.com/canada/ns/lunenburg/116-montague-street?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=16503&utm_campaign=evergreen-2020&y_source=1_MTQ5MjEwMTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D"">https://restaurants.subway.com/canada/ns/lunenburg/116-montague-street?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=16503&utm_campaign=evergreen-2020&y_source=1_MTQ5MjEwMTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D</a>"	(902) 634-3800	https://restaurants.subway.com/canada/ns/lunenburg/116-montague-street?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=16503&utm_campaign=evergreen-2020&y_source=1_MTQ5MjEwMTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D	116 Montague St, Lunenburg, NS B0J 2C0, Canada	F: 08:00 T: 21:00	F: 08:00 T: 21:00	F: 08:00 T: 21:00	F: 08:00 T: 21:00	F: 08:00 T: 08:15	F: 09:00 T: 21:00	F: 09:00 T: 20:00	subway.jpg
Tim Hortons	44.3762593	-64.3246964	Business	Cafe	"<b>Tim Hortons</b> — Canadian chain for signature premium-blend coffee, plus light fare, pastries & breakfast sandwiches.<br><i>134 Victoria Road, Lunenburg, NS B3A 1V6, Canada</i><br>Tel: (902) 634-8617<br><a href=""https://locations.timhortons.ca/en/ns/lunenburg/134-victoria-rd"">https://locations.timhortons.ca/en/ns/lunenburg/134-victoria-rd</a>"	(902) 634-8617	https://locations.timhortons.ca/en/ns/lunenburg/134-victoria-rd	134 Victoria Road, Lunenburg, NS B3A 1V6, Canada	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	tim-hortons.jpg
Grand Banker Bar & Grill	44.376423	-64.311354	Business	Restaurant	"<b>Grand Banker Bar & Grill</b> — This charming, old-timey venue on the harbor is known for local seafood dishes & craft beers.<br><i>82 Montague St, Lunenburg, NS B0J 2C0, Canada</i><br>Tel: (902) 634-3300<br><a href=""http://www.grandbanker.com/"">http://www.grandbanker.com/</a>"	(902) 634-3300	http://www.grandbanker.com/	82 Montague St, Lunenburg, NS B0J 2C0, Canada	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	grand-banker-bar-grill.jpg
Salt Shaker Deli & Inn	44.37623360000001	-64.3094833	Business	Restaurant	"<b>Salt Shaker Deli & Inn</b><br><i>124 Montague St, Lunenburg, NS B2W 3P6, Canada</i><br>Tel: (902) 640-3434<br><a href=""http://saltshakerdeli.com/"">http://saltshakerdeli.com/</a>"	(902) 640-3434	http://saltshakerdeli.com/	124 Montague St, Lunenburg, NS B2W 3P6, Canada	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 11:00 T: 21:00	salt-shaker-deli-inn.jpg
The Old Fish Factory Restaurant	44.3762691	-64.3122779	Business	Restaurant	"<b>The Old Fish Factory Restaurant</b> — Waterfront restaurant & bar serving seafood, pasta & other eats in a former fish processing plant.<br><i>68 Bluenose Dr, Lunenburg, NS B0J 2C0, Canada</i><br>Tel: (902) 634-3333<br><a href=""https://oldfishfactory.com/"">https://oldfishfactory.com/</a>"	(902) 634-3333	https://oldfishfactory.com/	68 Bluenose Dr, Lunenburg, NS B0J 2C0, Canada	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 11:00 T: 21:00	the-old-fish-factory-restaurant.jpg
J3 Pizza	44.376594	-64.312557	Business	Restaurant	"<b>J3 Pizza</b><br><i>50 Montague St, Lunenburg, NS B0J 2C0, Canada</i><br>Tel: (902) 634-9999<br><a href=""https://j3pizza.ca/"">https://j3pizza.ca/</a>"	(902) 634-9999	https://j3pizza.ca/	50 Montague St, Lunenburg, NS B0J 2C0, Canada	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	j3-pizza.jpg
Scotia Curry Lunenburg	44.3777407	-64.3139899	Business	Restaurant	"<b>Scotia Curry Lunenburg</b><br><i>112 Lincoln St, Lunenburg, NS B0J 2C0, Canada</i><br>Tel: (902) 634-4500<br><a href=""http://www.scotiacurry.ca/"">http://www.scotiacurry.ca/</a>"	(902) 634-4500	http://www.scotiacurry.ca/	112 Lincoln St, Lunenburg, NS B0J 2C0, Canada	closed	F: 13:00 T: 20:00	F: 13:00 T: 20:00	F: 13:00 T: 20:00	F: 13:00 T: 21:00	F: 13:00 T: 21:00	F: 13:00 T: 20:00	scotia-curry-lunenburg.jpg
The Sandwich Shop Lunenburg	44.3775273	-64.312589	Business	Restaurant	"<b>The Sandwich Shop Lunenburg</b><br><i>158 Lincoln St, Lunenburg, NS B0J 2C0, Canada</i><br>Tel: (902) 640-2123<br><a href=""https://www.coastalcateringevents.com/the-sandwich-shop"">https://www.coastalcateringevents.com/the-sandwich-shop</a>"	(902) 640-2123	https://www.coastalcateringevents.com/the-sandwich-shop	158 Lincoln St, Lunenburg, NS B0J 2C0, Canada	closed	closed	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 11:00 T: 17:00	the-sandwich-shop-lunenburg.jpg
Lamprai & Spice Cafe	44.37763	-64.3119	Business	Restaurant	"<b>Lamprai & Spice Cafe</b><br><i>181 Lincoln St, Lunenburg, NS B4N 2E1, Canada</i><br>Tel: (902) 990-0404<br><a href=""https://www.facebook.com/Lamprai-Spice-Cafe-1999966220268249"">https://www.facebook.com/Lamprai-Spice-Cafe-1999966220268249</a>"	(902) 990-0404	https://www.facebook.com/Lamprai-Spice-Cafe-1999966220268249	181 Lincoln St, Lunenburg, NS B4N 2E1, Canada	closed	closed	F: 11:00 T: 14:00	F: 11:00 T: 14:00	F: 11:00 T: 14:00	F: 11:00 T: 14:00	closed	lamprai-spice-cafe.jpg
Big Red’s Lunenburg	44.377343	-64.311503	Business	Restaurant	"<b>Big Red’s Lunenburg</b><br><i>200 Lincoln St, Lunenburg, NS B0J 2C0, Canada</i><br>Tel: (902) 634-3554<br><a href=""https://www.bigreds.ca/"">https://www.bigreds.ca/</a>"	(902) 634-3554	https://www.bigreds.ca/	200 Lincoln St, Lunenburg, NS B0J 2C0, Canada	F: 11:00 T: 20:00	F: 11:00 T: 20:00	F: 11:00 T: 20:00	F: 11:00 T: 20:00	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 11:00 T: 20:00	big-reds-lunenburg.jpg
Dory Mates’ Seafood Shop	44.37725069999999	-64.31035659999999	Business	Cafe	"<b>Dory Mates’ Seafood Shop</b><br><i>242 Lincoln St, Lunenburg, NS B0J 2C0, Canada</i><br>Tel: (902) 521-7067<br><a href=""http://www.dorymates.com/"">http://www.dorymates.com/</a>"	(902) 521-7067	http://www.dorymates.com/	242 Lincoln St, Lunenburg, NS B0J 2C0, Canada	F: 08:30 T: 16:00	F: 08:30 T: 16:00	F: 08:30 T: 16:00	F: 08:30 T: 16:00	F: 08:30 T: 16:00	F: 08:30 T: 16:00	F: 08:30 T: 16:00	dory-mates-seafood-shop.jpg
The Half Shell Oysters & Seafood	44.3763977	-64.3103581	Business	Restaurant	"<b>The Half Shell Oysters & Seafood</b><br><i>108 Montague St, Lunenburg, NS B0J 2C0, Canada</i><br><a href=""http://halfshelloysterbar.com/"">http://halfshelloysterbar.com/</a>"		http://halfshelloysterbar.com/	108 Montague St, Lunenburg, NS B0J 2C0, Canada	F: 12:00 T: 21:00	F: 12:00 T: 21:00	F: 12:00 T: 21:00	F: 12:00 T: 21:00	F: 12:00 T: 22:00	F: 12:00 T: 22:00	F: 12:00 T: 21:00	the-half-shell-oysters-seafood.jpg
