name	lat	lng	category	subcategory	description	phone	website	address	hours_mon	hours_tue	hours_wed	hours_thu	hours_fri	hours_sat	hours_sun	image_file
Kings County Museum	45.07779439999999	-64.49394480000001	Landmark	Museum	"<b>Kings County Museum</b><br><i>37 Bridge St, Kentville, NS B4N 2E2, Canada</i><br>Tel: (902) 678-6237<br><a href=""http://www.kingscountymuseum.ca/"">http://www.kingscountymuseum.ca/</a>"	(902) 678-6237	http://www.kingscountymuseum.ca/	37 Bridge St, Kentville, NS B4N 2E2, Canada	closed	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	closed	kings-county-museum.jpg
Kentville Historical Society	45.0788188	-64.4948812	Landmark	Museum	"<b>Kentville Historical Society</b><br><i>66 Station Ln, Kentville, NS B4N 0A3, Canada</i><br>Tel: (902) 375-2137<br><a href=""http://www.kentvillehistoricalsociety.ca/"">http://www.kentvillehistoricalsociety.ca/</a>"	(902) 375-2137	http://www.kentvillehistoricalsociety.ca/	66 Station Ln, Kentville, NS B4N 0A3, Canada	closed	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 13:00 T: 16:00	kentville-historical-society.jpg
Studio 14 Gifts & Gallery	45.0833205	-64.4006471	Landmark	Gallery	"<b>Studio 14 Gifts & Gallery</b><br><i>10032 Nova Scotia Trunk 1, Wolfville, NS B4P 2R2, Canada</i><br>Tel: (902) 697-1414<br><a href=""http://www.facebook.com/studio14giftsandgallery"">http://www.facebook.com/studio14giftsandgallery</a>"	(902) 697-1414	http://www.facebook.com/studio14giftsandgallery	10032 Nova Scotia Trunk 1, Wolfville, NS B4P 2R2, Canada	F: 12:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 12:00 T: 17:00	studio-14-gifts-gallery.jpg
Tides Art Gallery	45.077308	-64.4961028	Landmark	Gallery	"<b>Tides Art Gallery</b><br><i>401D Main St, Kentville, NS B4N 1K7, Canada</i><br>Tel: (902) 365-3322<br><a href=""http://www.tidescontemporaryartgallery.com/"">http://www.tidescontemporaryartgallery.com/</a>"	(902) 365-3322	http://www.tidescontemporaryartgallery.com/	401D Main St, Kentville, NS B4N 1K7, Canada	closed	closed	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 12:00 T: 17:00	tides-art-gallery.jpg
Art Lessons	45.0780576	-64.5020468	Landmark	Gallery	<b>Art Lessons</b><br><i>521 Main St, Kentville, NS B4N 1L4, Canada</i><br>Tel: (902) 300-9980	(902) 300-9980		521 Main St, Kentville, NS B4N 1L4, Canada	closed	closed	closed	closed	closed	closed	F: 00:00 T: 24:00	art-lessons.jpg
Little Community Library and Cabinet	45.06551499999999	-64.45545779999999	Landmark	Library	<b>Little Community Library and Cabinet</b><br><i>116 Highland Ave, New Minas, NS B4N 3K4, Canada</i>			116 Highland Ave, New Minas, NS B4N 3K4, Canada	closed	closed	closed	closed	closed	closed	F: 00:00 T: 24:00	little-community-library-and-cabinet.jpg
Little Library	45.0629132	-64.4606724	Landmark	Library	<b>Little Library</b><br><i>2 Danielle Dr S, New Minas, NS B4N 5C9, Canada</i>			2 Danielle Dr S, New Minas, NS B4N 5C9, Canada	closed	closed	closed	closed	closed	closed	F: 00:00 T: 24:00	little-library.jpg
Little Library	45.0586524	-64.46099579999999	Landmark	Library	<b>Little Library</b><br><i>1020 Catherine Crescent, New Minas, NS B4N 3Z7, Canada</i>			1020 Catherine Crescent, New Minas, NS B4N 3Z7, Canada	closed	closed	closed	closed	closed	closed	F: 00:00 T: 24:00	little-library.jpg
Kentville Library	45.076897	-64.4975235	Landmark	Library	"<b>Kentville Library</b><br><i>440 Main St, Kentville, NS B4N 1R5, Canada</i><br>Tel: (902) 679-2544<br><a href=""http://www.valleylibrary.ca/branch/kentville-library"">http://www.valleylibrary.ca/branch/kentville-library</a>"	(902) 679-2544	http://www.valleylibrary.ca/branch/kentville-library	440 Main St, Kentville, NS B4N 1R5, Canada	closed	F: 12:00 T: 20:00	F: 10:00 T: 18:00	F: 12:00 T: 20:00	F: 10:00 T: 18:00	F: 10:00 T: 17:00	closed	kentville-library.jpg
Port Williams - Murdoch C. Smith Memorial Library	45.0987166	-64.4108979	Landmark	Library	"<b>Port Williams - Murdoch C. Smith Memorial Library</b><br><i>1045 Main St, Port Williams, NS B0P 1T0, Canada</i><br>Tel: (902) 542-3005<br><a href=""http://www.valleylibrary.ca/branch/port-williams-murdoch-c-smith-memorial-library"">http://www.valleylibrary.ca/branch/port-williams-murdoch-c-smith-memorial-library</a>"	(902) 542-3005	http://www.valleylibrary.ca/branch/port-williams-murdoch-c-smith-memorial-library	1045 Main St, Port Williams, NS B0P 1T0, Canada	closed	F: 15:00 T: 20:00	F: 10:00 T: 15:00	F: 15:00 T: 20:00	F: 10:00 T: 15:00	F: 10:00 T: 15:00	closed	
Little Library	45.1055998	-64.4080018	Landmark	Library	<b>Little Library</b><br><i>135 Collins Rd, Port Williams, NS B0P 1T0, Canada</i>			135 Collins Rd, Port Williams, NS B0P 1T0, Canada	closed	closed	closed	closed	closed	closed	F: 00:00 T: 24:00	little-library.jpg
Orchard Valley United Church	45.0742831	-64.4446822	Landmark	Religious	"<b>Orchard Valley United Church</b><br><i>130 Cornwallis Ave, New Minas, NS B4N 3M7, Canada</i><br>Tel: (902) 681-0366<br><a href=""http://orchardvalleyunited.ca/"">http://orchardvalleyunited.ca/</a>"	(902) 681-0366	http://orchardvalleyunited.ca/	130 Cornwallis Ave, New Minas, NS B4N 3M7, Canada	F: 08:00 T: 12:00	F: 08:00 T: 12:00	F: 08:00 T: 12:00	F: 08:00 T: 12:00	closed	closed	F: 09:00 T: 12:00	orchard-valley-united-church.jpg
Kings Presbyterian Church	45.0583035	-64.465491	Landmark	Religious	"<b>Kings Presbyterian Church</b><br><i>5563 Prospect Rd, New Minas, NS B4N 3Z8, Canada</i><br>Tel: (902) 681-1333<br><a href=""https://kingschurch.ca/"">https://kingschurch.ca/</a>"	(902) 681-1333	https://kingschurch.ca/	5563 Prospect Rd, New Minas, NS B4N 3Z8, Canada								
New Minas Seventh Day Adventist Church	45.0747896	-64.4305628	Landmark	Religious	"<b>New Minas Seventh Day Adventist Church</b><br><i>9509 Commercial St, New Minas, NS B4N 3G3, Canada</i><br>Tel: (902) 681-1034<br><a href=""https://newminasns.adventistchurch.org/"">https://newminasns.adventistchurch.org/</a>"	(902) 681-1034	https://newminasns.adventistchurch.org/	9509 Commercial St, New Minas, NS B4N 3G3, Canada								new-minas-seventh-day-adventist-church.jpg
Hope Center Family Church	45.075952	-64.425181	Landmark	Religious	"<b>Hope Center Family Church</b><br><i>9593 Commercial St, New Minas, NS B4N 3G5, Canada</i><br>Tel: (902) 681-4673<br><a href=""https://www.hopecentre316.ca/"">https://www.hopecentre316.ca/</a>"	(902) 681-4673	https://www.hopecentre316.ca/	9593 Commercial St, New Minas, NS B4N 3G5, Canada								hope-center-family-church.jpg
Kingsway Assembly (PAOC)	45.0847055	-64.48030539999999	Landmark	Religious	"<b>Kingsway Assembly (PAOC)</b><br><i>242 Belcher St, Kentville, NS B4N 1E4, Canada</i><br>Tel: (902) 678-3455<br><a href=""http://kingswayassembly.net/"">http://kingswayassembly.net/</a>"	(902) 678-3455	http://kingswayassembly.net/	242 Belcher St, Kentville, NS B4N 1E4, Canada	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	closed	closed	closed	kingsway-assembly-paoc.jpg
The Church of Jesus Christ of Latter-day Saints	45.0874477	-64.4691948	Landmark	Religious	"<b>The Church of Jesus Christ of Latter-day Saints</b><br><i>440 Belcher St, Kentville, NS B4N 3V5, Canada</i><br>Tel: (902) 679-2798<br><a href=""https://local.churchofjesuschrist.org/en/ca/ns/kentville/440-belcher-street?utm_source=gmb&utm_medium=yext&y_source=1_NjcwODUwNTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D"">https://local.churchofjesuschrist.org/en/ca/ns/kentville/440-belcher-street?utm_source=gmb&utm_medium=yext&y_source=1_NjcwODUwNTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D</a>"	(902) 679-2798	https://local.churchofjesuschrist.org/en/ca/ns/kentville/440-belcher-street?utm_source=gmb&utm_medium=yext&y_source=1_NjcwODUwNTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D	440 Belcher St, Kentville, NS B4N 3V5, Canada	F: 09:00 T: 18:00	F: 09:00 T: 18:00	F: 09:00 T: 18:00	F: 09:00 T: 18:00	F: 09:00 T: 18:00	F: 09:00 T: 18:00	F: 10:00 T: 13:00	the-church-of-jesus-christ-of-latter-day-saints.jpg
St Joseph's Catholic Church Office	45.0809644	-64.4921117	Landmark	Religious	"<b>St Joseph's Catholic Church Office</b><br><i>43 Chapel Hill, Kentville, NS B4N 2C8, Canada</i><br>Tel: (902) 678-3303<br><a href=""https://www.halifaxyarmouth.org/parishes-2/parish-directory/item/saint-joseph-church-kentville"">https://www.halifaxyarmouth.org/parishes-2/parish-directory/item/saint-joseph-church-kentville</a>"	(902) 678-3303	https://www.halifaxyarmouth.org/parishes-2/parish-directory/item/saint-joseph-church-kentville	43 Chapel Hill, Kentville, NS B4N 2C8, Canada	F: 08:30 T: 16:30	F: 08:30 T: 16:30	F: 08:30 T: 16:30	F: 08:30 T: 16:30	F: 08:30 T: 16:30	closed	closed	st-joseph-s-catholic-church-office.jpg
