name	lat	lng	category	subcategory	description	phone	website	address	hours_mon	hours_tue	hours_wed	hours_thu	hours_fri	hours_sat	hours_sun	image_file
Old Orchard Inn	45.07388599999999	-64.401663	Business	Accommodation	"<b>Old Orchard Inn</b> — Relaxed hotel offering traditional rooms & cabins, plus casual dining, an indoor pool & a spa.<br><i>153 Greenwich Rd S, Greenwich, NS B4P 0J6, Canada</i><br>Tel: (902) 542-5751<br><a href=""https://oldorchardinn.com/"">https://oldorchardinn.com/</a>"	(902) 542-5751	https://oldorchardinn.com/	153 Greenwich Rd S, Greenwich, NS B4P 0J6, Canada	closed	closed	closed	closed	closed	closed	F: 00:00 T: 24:00	old-orchard-inn.jpg
Boston Pizza	45.06814259999999	-64.4423479	Business	Bar	"<b>Boston Pizza</b><br><i>9278 Commercial St, New Minas, NS B4N 3E9, Canada</i><br>Tel: (902) 678-4643<br><a href=""https://bostonpizza.com/en/locations/new-minas.html"">https://bostonpizza.com/en/locations/new-minas.html</a>"	(902) 678-4643	https://bostonpizza.com/en/locations/new-minas.html	9278 Commercial St, New Minas, NS B4N 3E9, Canada	F: 11:00 T: 00:00	F: 11:00 T: 00:00	F: 11:00 T: 00:00	F: 11:00 T: 00:00	F: 11:00 T: 01:00	F: 11:00 T: 01:00	F: 11:00 T: 00:00	boston-pizza.jpg
Tim Hortons	45.0681371	-64.4556874	Business	Cafe	"<b>Tim Hortons</b> — Canadian chain for signature premium-blend coffee, plus light fare, pastries & breakfast sandwiches.<br><i>9061 Commercial St, New Minas, NS B4N 3E6, Canada</i><br>Tel: (902) 681-2253<br><a href=""https://locations.timhortons.ca/en/ns/new-minas/9061-commercial-st"">https://locations.timhortons.ca/en/ns/new-minas/9061-commercial-st</a>"	(902) 681-2253	https://locations.timhortons.ca/en/ns/new-minas/9061-commercial-st	9061 Commercial St, New Minas, NS B4N 3E6, Canada	closed	closed	closed	closed	closed	closed	F: 00:00 T: 24:00	tim-hortons.jpg
Jessy's Pizza	45.0675771	-64.46375619999999	Business	Restaurant	"<b>Jessy's Pizza</b><br><i>8934 Commercial St, New Minas, NS B4N 3C9, Canada</i><br>Tel: (902) 678-7777<br><a href=""https://jessyspizza.ca/"">https://jessyspizza.ca/</a>"	(902) 678-7777	https://jessyspizza.ca/	8934 Commercial St, New Minas, NS B4N 3C9, Canada	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 15:00 T: 21:00	jessy-s-pizza.jpg
Subway	45.0677496	-64.451045	Business	Restaurant	"<b>Subway</b> — Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.<br><i>9141 Commercial St, New Minas, NS B4N 3E6, Canada</i><br>Tel: (902) 365-3505<br><a href=""https://restaurants.subway.com/canada/ns/new-minas/9141-commercial-st?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=5791&utm_campaign=evergreen-2020&y_source=1_MTQ5MjAyNzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D"">https://restaurants.subway.com/canada/ns/new-minas/9141-commercial-st?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=5791&utm_campaign=evergreen-2020&y_source=1_MTQ5MjAyNzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D</a>"	(902) 365-3505	https://restaurants.subway.com/canada/ns/new-minas/9141-commercial-st?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=5791&utm_campaign=evergreen-2020&y_source=1_MTQ5MjAyNzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D	9141 Commercial St, New Minas, NS B4N 3E6, Canada	F: 07:00 T: 23:00	F: 07:00 T: 23:00	F: 07:00 T: 23:00	F: 07:00 T: 23:00	F: 07:00 T: 23:00	F: 07:00 T: 23:00	F: 07:00 T: 23:00	subway.jpg
Sushi Fang	45.0703208	-64.4725873	Business	Restaurant	"<b>Sushi Fang</b><br><i>7 Kentucky Ct, New Minas, NS B4N 4N1, Canada</i><br>Tel: (902) 681-0709<br><a href=""https://www.clover.com/online-ordering/sushi-fang-new-minas"">https://www.clover.com/online-ordering/sushi-fang-new-minas</a>"	(902) 681-0709	https://www.clover.com/online-ordering/sushi-fang-new-minas	7 Kentucky Ct, New Minas, NS B4N 4N1, Canada	F: 11:00 T: 20:00	F: 11:00 T: 20:30	F: 11:00 T: 20:30	F: 11:00 T: 20:30	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 12:00 T: 20:30	sushi-fang.jpg
Burger King	45.066883	-64.4505121	Business	Restaurant	"<b>Burger King</b> — Well-known fast-food chain serving grilled burgers, fries & shakes.<br><i>9148 Commercial St, New Minas, NS B4N 3E5, Canada</i><br>Tel: (902) 681-1203<br><a href=""https://www.burgerking.ca/"">https://www.burgerking.ca/</a>"	(902) 681-1203	https://www.burgerking.ca/	9148 Commercial St, New Minas, NS B4N 3E5, Canada	F: 07:00 T: 01:00	F: 07:00 T: 01:00	F: 07:00 T: 01:00	F: 07:00 T: 01:00	F: 07:00 T: 01:00	F: 07:00 T: 01:00	F: 07:00 T: 01:00	burger-king.jpg
A&W Canada	45.067642	-64.447388	Business	Restaurant	"<b>A&W Canada</b> — Fast-food outlet serving up namesake root beer, plus burgers, chicken & fries.<br><i>9203 Commercial St, New Minas, NS B4N 3G1, Canada</i><br>Tel: (902) 681-0403<br><a href=""https://web.aw.ca/"">https://web.aw.ca/</a>"	(902) 681-0403	https://web.aw.ca/	9203 Commercial St, New Minas, NS B4N 3G1, Canada	F: 06:00 T: 23:00	F: 06:00 T: 23:00	F: 06:00 T: 23:00	F: 06:00 T: 00:00	F: 06:00 T: 00:00	F: 06:00 T: 00:00	F: 06:00 T: 23:00	a-w-canada.jpg
Mary Brown's Chicken	45.0700083	-64.4418472	Business	Restaurant	"<b>Mary Brown's Chicken</b> — Counter-serve choice known for its breaded chicken, wings, wraps & signature potato wedges.<br><i>9319 Commercial St, New Minas, NS B4N 3G2, Canada</i><br>Tel: (902) 678-1595<br><a href=""https://marybrowns.com/locations"">https://marybrowns.com/locations</a>"	(902) 678-1595	https://marybrowns.com/locations	9319 Commercial St, New Minas, NS B4N 3G2, Canada	F: 10:30 T: 00:00	F: 10:30 T: 00:00	F: 10:30 T: 00:00	F: 10:30 T: 00:00	F: 10:30 T: 00:00	F: 10:30 T: 00:00	F: 10:30 T: 00:00	mary-brown-s-chicken.jpg
Harvey's	45.06880829999999	-64.443531	Business	Restaurant	"<b>Harvey's</b><br><i>9269 Commercial St, New Minas, NS B4N 3G2, Canada</i><br>Tel: (902) 681-1761<br><a href=""https://www.harveys.ca/en/locations/ns/new-minas/9269-commercial-street"">https://www.harveys.ca/en/locations/ns/new-minas/9269-commercial-street</a>"	(902) 681-1761	https://www.harveys.ca/en/locations/ns/new-minas/9269-commercial-street	9269 Commercial St, New Minas, NS B4N 3G2, Canada	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 21:00	harvey-s.jpg
