name	lat	lng	category	subcategory	description	phone	website	address	hours_mon	hours_tue	hours_wed	hours_thu	hours_fri	hours_sat	hours_sun	image_file
New Minas Bark Park	45.057184	-64.469235	Nature	Park	"<b>New Minas Bark Park</b><br><i>477 Prospect Rd, New Minas, NS B4N 3K9, Canada</i><br>Tel: (902) 702-3655<br><a href=""https://www.irvingoil.com/en-CA/location/irving-oil-26266?utm_source=G&utm_medium=lpm&utm_campaign=irving"">https://www.irvingoil.com/en-CA/location/irving-oil-26266?utm_source=G&utm_medium=lpm&utm_campaign=irving</a>"	(902) 702-3655	https://www.irvingoil.com/en-CA/location/irving-oil-26266?utm_source=G&utm_medium=lpm&utm_campaign=irving	477 Prospect Rd, New Minas, NS B4N 3K9, Canada	closed	closed	closed	closed	closed	closed	F: 00:00 T: 24:00	new-minas-bark-park.jpg
Miner's Marsh	45.0798652	-64.4887928	Nature	Park	"<b>Miner's Marsh</b><br><i>Barclay St, Kentville, NS B4N 1H1, Canada</i><br>Tel: (902) 679-2500<br><a href=""https://kentville.ca/parks-and-recreation/parks/miners-marsh"">https://kentville.ca/parks-and-recreation/parks/miners-marsh</a>"	(902) 679-2500	https://kentville.ca/parks-and-recreation/parks/miners-marsh	Barclay St, Kentville, NS B4N 1H1, Canada	closed	closed	closed	closed	closed	closed	F: 00:00 T: 24:00	miner-s-marsh.jpg
Lockhart Ryan Memorial Park	45.0759505	-64.4373916	Nature	Park	<b>Lockhart Ryan Memorial Park</b><br><i>9443 Commercial St, New Minas, NS B4N 3G3, Canada</i>			9443 Commercial St, New Minas, NS B4N 3G3, Canada								lockhart-ryan-memorial-park.jpg
Lonnie Milne Memorial Park	45.0611713	-64.45150579999999	Nature	Park	"<b>Lonnie Milne Memorial Park</b><br><i>New Minas, NS B4N 4J2, Canada</i><br><a href=""http://newminas.com/"">http://newminas.com/</a>"		http://newminas.com/	New Minas, NS B4N 4J2, Canada	closed	closed	closed	closed	closed	closed	F: 00:00 T: 24:00	lonnie-milne-memorial-park.jpg
King Arthur Park	45.0646135	-64.4666124	Nature	Park	<b>King Arthur Park</b><br><i>72 King Arthur Ct, New Minas, NS B4N 5J8, Canada</i>			72 King Arthur Ct, New Minas, NS B4N 5J8, Canada	closed	closed	closed	closed	closed	closed	F: 00:00 T: 24:00	king-arthur-park.jpg
Hidden Valley	45.055354	-64.44751939999999	Nature	Park	<b>Hidden Valley</b><br><i>Kings County, NS B4N 5K6, Canada</i>			Kings County, NS B4N 5K6, Canada								hidden-valley.jpg
The Kentville Ravine	45.0672247	-64.4756799	Nature	Park	<b>The Kentville Ravine</b><br><i>Main St, Kentville, NS B4N 1J5, Canada</i>			Main St, Kentville, NS B4N 1J5, Canada	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	F: 05:00 T: 23:00	the-kentville-ravine.jpg
Fox Hill Community Park	45.0815494	-64.47422569999999	Nature	Park	<b>Fox Hill Community Park</b><br><i>Kentville, NS B4N 5J4, Canada</i>			Kentville, NS B4N 5J4, Canada								fox-hill-community-park.jpg
Kentville Research & Development Centre	45.0691686	-64.477194	Nature	Park	"<b>Kentville Research & Development Centre</b><br><i>32 Main St, Kentville, NS B4N 1J5, Canada</i><br><a href=""https://profils-profiles.science.gc.ca/en/research-centre/kentville-research-and-development-centre"">https://profils-profiles.science.gc.ca/en/research-centre/kentville-research-and-development-centre</a>"		https://profils-profiles.science.gc.ca/en/research-centre/kentville-research-and-development-centre	32 Main St, Kentville, NS B4N 1J5, Canada								kentville-research-development-centre.jpg
Marshview Dog Park	45.0719664	-64.47760540000002	Nature	Park	"<b>Marshview Dog Park</b><br><i>Kentville, NS B4N 3C5, Canada</i><br><a href=""https://kentville.ca/dogpark"">https://kentville.ca/dogpark</a>"		https://kentville.ca/dogpark	Kentville, NS B4N 3C5, Canada	F: 06:00 T: 21:00	F: 06:00 T: 21:00	F: 06:00 T: 21:00	F: 06:00 T: 21:00	F: 06:00 T: 21:00	F: 06:00 T: 21:00	F: 06:00 T: 21:00	marshview-dog-park.jpg
