Business Name	First Name	Last Name	Email Address	Website	Phone	Category	Sub Category	street	town	post code	country	lat	lng	Original 'Street Address	on_website	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday	blurb	image_file	org_map_name	card_layout		iframe
Annapolis Blossom Gallery Consignment	Cherie	Brad	bradcherie@hotmail.ca		902-678-4761	Business	Shops	484 Main St	Kentville	NS B4N 1L3	Canada	45.077408	-64.5000424	484 Main Street  Kentville, CA B4N 1K9	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>Annapolis Blossom Gallery Consignment</b> — A treasure trove of consignment finds in Downtown Kentville. Unique home décor, art, and vintage pieces at great prices. Sustainable shopping that's easy on your wallet and the planet.	Annapolis_Blossom_Gallery_Consignment.jpg	business-map	image		
Bloom Box	Ruth	Wright	bloomboxflorist@yahoo.ca	http://www.bloombox.ca/	(902) 681-3644	Business	Shops	37 Evangeline Trl	Kentville	NS B4N 2E2	Canada	45.0777927	-64.4940166	37 Evangeline Trail, Kentville, NS B4N 2E1	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>Bloom Box</b> — Beautiful blooms and creative floral arrangements for every occasion. From everyday bouquets to wedding flowers, Bloom Box brings colour and joy to Downtown Kentville.	Bloom_Box.jpg	business-map	image		
Park Street Ultramar	Jatinderjeet	Singh	jipsfuel@gmail.com	https://www.ultramar.ca/en-on/?utm_source=G&utm_medium=lpm&utm_campaign=parkland	289-886-1685	Business	Automotive / Mechanical	11 Park St	Kentville	NS B4N 1L9	Canada	45.0779779	-64.5047551	11 Park Street, Kentville	False	F: 6:00 T: 22:00	F: 6:00 T: 22:00	F: 6:00 T: 22:00	F: 6:00 T: 22:00	F: 6:00 T: 22:00	F: 6:00 T: 22:00	F: 7:00 T: 21:00	<b>Park Street Ultramar</b> — Reliable automotive and mechanical services in Kentville. Trusted by the community for quality workmanship, honest advice, and keeping you safely on the road.<br><i>📍 11 Park St</i> &nbsp;|&nbsp; 📞 289-886-1685 &nbsp;|&nbsp; 🌐 www.ultramar.ca/en-on/?utm_source=G&utm_medium=lpm&utm_campaign=parkland	Park_Street_Ultramar.jpg	business-map	image		
Wholesum Refillery	Krista	McDonald	wholesumrefillery@gmail.com	https://www.wholesumrefillery.com/	(902) 679-1518	Business	Shops	19 Aberdeen St	Kentville	NS B4N 2M9	Canada	45.0776619	-64.496445	19 Aberdeen St Kentville	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>Wholesum Refillery</b> — Kentville's zero-waste refill shop. Bring your own containers and fill up on eco-friendly household, personal care, and pantry products. Small steps, big impact for the planet.	Wholesum_Refillery.jpg	business-map	image		
Wilsons Pharmasave	Nancy	Walsh	nancy@macquarries.com	http://pharmasave.com/store/pharmasave-wilsons-2/	902-365-6655	Business	Groceries / Pharmacy	100 Station Ln	Kentville	NS B4N 0A3	Canada	45.0792183	-64.4972875	100 Station Lane Kentville	True	F: 8:00 T: 21:00	F: 8:00 T: 21:00	F: 8:00 T: 21:00	F: 8:00 T: 21:00	F: 8:00 T: 21:00	F: 8:00 T: 21:00	F: 10:00 T: 18:00	<b>Wilsons Pharmasave</b> — Serving the daily needs of the Kentville community with a wide selection of products, friendly staff, and convenient hours. Your neighbourhood destination for essentials and more.<br><i>📍 100 Station Ln</i> &nbsp;|&nbsp; 📞 902-365-6655 &nbsp;|&nbsp; 🌐 pharmasave.com/store/pharmasave-wilsons-2	Wilsons_Pharmasave.jpg	business-map	image		
Ametora Supply	Alex / Margaret	Pearson	ametorasupply@gmail.com	https://www.ametorasupply.ca/	(902) 401-4016	Business	Shops	13 River St	Kentville	NS B4N 1G8	Canada	45.0798784	-64.4956071	13 River Street, Kentville	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>Ametora Supply</b> — Curated menswear and lifestyle goods with a refined, contemporary aesthetic. Quality fabrics, thoughtful design, and brands that stand the test of time. A downtown destination for the modern gentleman.	Ametora_Supply.jpg	business-map	image		
Brad's Decor Centre	Mark	Paish	markpaish@icloud.com	https://www.bradsdecorcentre.ca/	+1 902 681 6000	Business	Shops	401 Main St	Kentville	NS B4N	Canada	45.0773472	-64.4960829	401 Main Street    Kentville  NS  B4N 1K7  CA	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>Brad's Decor Centre</b> — A welcoming retail destination in Downtown Kentville offering a curated selection of quality products and friendly, knowledgeable service. Stop by and discover something special on your next visit to Main Street.<br><i>📍 401 Main St</i> &nbsp;|&nbsp; 📞 +1 902 681 6000 &nbsp;|&nbsp; 🌐 www.bradsdecorcentre.ca	Brads_Decor_Centre.jpg	business-map	image		
Cleveland Carpet One Floor & Home	Debbie	Chisholm	debbiechisholm6@hotmail.com; clevelandcarpetone@hotmail.com	http://www.clevelandcarpetonekentville.com	902-678-4700	Business	Shops	38 River St	Kentville	NS B4N 1G9	Canada	45.0795221	-64.4965177	38 River Street    Kentville  NS  B4N 1G9  CA	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>Cleveland Carpet One Floor & Home</b> — A welcoming retail destination in Downtown Kentville offering a curated selection of quality products and friendly, knowledgeable service. Stop by and discover something special on your next visit to Main Street.<br><i>📍 38 River St</i> &nbsp;|&nbsp; 📞 902-678-4700 &nbsp;|&nbsp; 🌐 www.clevelandcarpetonekentville.com	Cleveland_Carpet_One_Floor_Home.jpg	business-map	image		
D.M. Reid Jewellers	Dave	Reid	davereid@ns.aliantzinc.ca	http://www.reidjewellers.ca	902-679-0762	Business	Shops	365 Main St	Kentville	NS B4N 1K7	Canada	45.0771145	-64.4952383	365 Main Street    Kentville  NS  B4N 1K7  CA	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>D.M. Reid Jewellers</b> — Fine jewellery, custom design, and expert repairs in Downtown Kentville. A trusted name for engagement rings, gifts, and heirloom pieces. Serving the Valley for generations.	DM_Reid_Jewellers.jpg	business-map	image		
Freedom Miniatures	Shelly	Acker	freedomminiatures@hotmail.com	https://freedomminiatures.com/	(902) 698-3673	Business	Shops	45 Webster St	Kentville	NS B4N 1H4	Canada	45.0783112	-64.4954695	45 Webster Street    Kentville  Nova Scotia  B4N 1 H4  CA	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>Freedom Miniatures</b> — The Annapolis Valley's destination for tabletop gaming, miniatures, and hobby supplies. Paints, models, games, and a welcoming community of fellow enthusiasts.	Freedom_Miniatures.jpg	business-map	image		
