name	lat	lng	desc	color	icon	categories	subcategory	image_file_name	image_file_size	image_file_hash	image_title	image_height	image_width	image_focal_x	image_focal_y	image_focal_w	image_focal_h	teaser_description	teaser_file_pk	teaser_file	in_person	in_person_radius	in_person_file_pk	in_person_file	in_person_duration	in_person_file_type	in_person_title
Point 1	45.0767330337213	-64.5104956626892	<p><b>Artist:</b> Ellen Cere<br/><b>Mural Site:</b> Kentville Memorial Pool, 125 Park Street<br/><b>Year:</b> 2021</p><p>Artist Statement: Nature plays a fundamental role in everyone’s story. This is a collage of various overlooked elements from our natural community. A diverse ecosystem is the richest.</p>	#e55d2c	brush	Mural	Mural	microsystems.jpg	196263	cdaaf3d82856b0440d329cda5251ba29fecafa5e	microsystems.jpg	1368	1824	None	None	None	None	<p></p>	None	None	False	None	None	None	None	None	None
Point 2	45.0772578073724	-64.495565772996	<p><b>Artist:</b> Lorne Julien<br/><b>Mural Site:</b> 381 Main Street<br/><b>Year:</b> 2021</p><p>Artist Statement: I am a Mi’kmaq artist. The concept of the mural includes many elements that tell a story, the story of my people, my story. The orange colour is honouring residential school survivors and all the children who lost their lives. This is the story of all indigenous people in Canada – all our families have been touched. The eagles represent love, the first of the seven sacred teachings. It talks about the strength and protection of family and the need to keep them together and to heal with love.<br/>It also shows the medicine wheel which holds many sacred teachings and the embedded double curved design representing the Mi’kmaq people.</p>	#f0602c	brush	Mural	Mural	family_resurgence.jpg	1069550	47d1e426cc0932fa4fc99e2f931415e5d9eae03e	family resurgence.jpg	1536	2048	None	None	None	None	<p></p>	None	None	False	None	None	None	None	None	None
Point 3	45.0772388056672	-64.4932035067357	<p><b>Artist:</b> Jaimie Peerless<br/><b>Mural Site:</b> 325 Main Street (behind the building)<br/><b>Year:</b> 2021</p><p>Artist Statement: This art is meant to honour the life of Theresa McAuley Robinson who was murdered by her husband in 1904. The image depicts the beautiful apple orchards in Burlington which was so near and dear to her heart. Theresa was a writer for the local paper; the ripped section is symbolic of her life transforming into a tragic story that marks the pages she once wrote.</p><p>As the story goes, Theresa was married and had several children with her first husband. One day he got very sick and knew that his days were numbered. Back then, a woman was prohibited to own property, so the sick man asked the assistance of a friend to help him find a solution for his wife so that she would not lose the farm in his absence. The friend set him up with his younger brother, William Robinson, who agreed to terms of the contract. This man became very abusive in nature once married to Theresa. A dispute between one of Theresa’s sons ended up in an assault charge where Theresa was called to testify. A few short days after her testimony, the house was set on fire and her charred remains were found dismembered inside.</p><p>The trial was held in Kentville’s newly-built courthouse which was the first courthouse in Nova Scotia to have electricity at the time. It was a fantastic case for its time, not only because of the horrific nature of the crime, but also because of the rage from the local community that demanded justice. William could not escape his transgressions with his smooth tongue and brute intimidation; he was sentenced to death July 27 and hung a few feet away from this mural on September 11, 1904. Mr. Robinson was the last person to be hanged in Kentville.</p>	#f0602c	brush	Mural	Mural	daughter_of_community.jpg	335820	9a01d410e505d62a638e186b50a199a66ef9fe4a	daughter of community.jpg	1440	1440	None	None	None	None	<p></p>	None	None	False	None	None	None	None	None	None
Point 4	45.0769915509479	-64.4951025665181	<p><b>Artist:</b> Celine Gabrielle<br/><b>Mural Site:</b> 366 Main Street<br/><b>Year:</b> 2021</p><p>Artist Statement: I believe the clothes we wear are a part of our stories. One of my personal role models and style icons is my mom who grew up just around the corner on Highland Avenue.</p><p>One Saturday morning in the sixties she went to class at Acadia University in a beautifully tailored pantsuit. It was her way to express her feminist rights for equality. Her professor was not amused, made it clear that there was no place for women’s liberation in that class and threw her out! But that didn’t stop my mom from wearing beautifully tailored pantsuits—or being her own woman.</p>	#f0602c	brush	Mural	Mural	sassy_pants.jpg	71469	8cde18aaaeb0e4f8e5837022cb6bcbbfa6ff3592	sassy pants.jpg	834	834	None	None	None	None	<p></p>	None	None	False	None	None	None	None	None	None
Point 5	45.077244416482	-64.4953198287991	<p><b>Artist:</b> Paloma Dawkins<br/><b>Mural Site:</b> 373 Main Street<br/><b>Title:</b> A New Wave<br/><b>Year:</b> 2021</p><p>Artist Statement: I hope that we all reemerge from this pandemic with a renewed sense of hope and clarity, and that is what the water means to me. Nova Scotia has some of the most beautiful Oceanscapes I’ve ever seen and being close to the ocean this year was very healing during isolation. Every wave brings opportunities for cleansing and every tide brings new treasures to the beach!</p>	#f0602c	brush	Mural	Mural	the_wave.jpg	189674	c2c74c9cf5428172f2212067573bce5c80df3de4	the wave.jpg	960	960	None	None	None	None	<p></p>	None	None	False	None	None	None	None	None	None
Point 6	45.0760652335328	-64.4916326135413	<p><i>Photo credit: Aperture 16 Photography</i></p><p><b>Artist:</b> Sarah Cannon<br/><b>Mural Site:</b> 17 Leverett Ave.<br/><b>Year:</b> 2021</p><p>Artist Statement: Duck Marsh depicts a Blue and Green Winged Teal duck in a marsh surrounded by blue joint and spike rush plants. The concept is inspired by a hike at the Migratory Bird Sanctuary in Kentville. Specifically, the work draws from the delight I experienced learning about new types of duck species that pass through the sanctuary. Duck Marsh examines how curiosity and exploration of nature contributes to cultivating positive mental health and well-being.</p>	#f0602c	brush	Mural	Mural	duckmarsh.jpg	120944	bb83c88982065609b4728721733cb1fc1fd858fe	duckmarsh.jpg	682	1024	None	None	None	None	<p></p>	None	None	False	None	None	None	None	None	None
Point 7	45.077898799741	-64.495814742293	<p><b>Artists:</b> Kristen DePalma<br/><b>Mural Site:</b> 54 Webster Street (around back)<br/><b>Year:</b> 2022</p><p>Artist Statement: Exploring the small towns of Nova Scotia is one of my favourite things to do – there is something unique about every single one, and that always traces back to the people that live there. Kentville’s connected community contributes to a special sense of place where both residents and visitors feel at home. I want to bring this pride in place to life with a mural that makes people feel connected to Kentville and where they are at that present moment. For fun – see if you can find all the nods to The Wizard of Oz reference hidden in the mural!</p>	#f0602c	brush	Mural	Mural	noplacelikekentville.jpg	208240	aeaa225f65b6be84ff94022a1cb5c057546f383d	noplacelikekentville.jpg	768	1024	None	None	None	None	<p></p>	None	None	False	None	None	None	None	None	None
Point 8	45.0772958735152	-64.4952962031827	<p><b>Artists: </b>Jaimie &amp; Aaron Peerless<br/><b>Mural Site: </b>373 Main Street<br/><b>Year: </b>2022</p><p>Artist statement: My artistic connection to this community started back in the 90’s when this whimsical fellow started painting murals around the town. I grew up admiring him and always wanted to have the opportunity to tell stories and create artwork for others to appreciate. Little did I know that 30 years later I would be doing just that, and in my hometown no less!</p><p>Years ago, Matthew had murals throughout the Annapolis Valley and beyond. He was a very well-known and respected artist who started painting murals around the communities as a way to spread joy through public art. The self-portrait located on this site was one the last remaining mural and was practically faded away from the brick wall.  After receiving special permission to paint over the old mural, I thought it was only fitting to create a mural which would honour this great man. Hopefully this piece will inspire a new generation to do what they love and embrace who they are. Matthew told me a few weeks ago that not a lot of people get the privilege of living their truth, and that artists are lucky.  Thank you Matthew Cupido for being the gentle breeze that patiently blew a seed through time which grew into this very mural festival.</p>	#f0602c	brush	Mural	Mural	artisticvisionary.jpg	232766	2ffadc84cef8077f154dd943ca79adb1808bcc00	artisticvisionary.jpg	768	1024	None	None	None	None	<p></p>	None	None	False	None	None	None	None	None	None
Point 9	45.0778146099181	-64.4971503797919	<p><b>Artists:</b> Mural collaboration by Cameryn Mattie, Sarah Mosher, Monique Silver, Don (Byrd) Awalt and people from the surrounding community.<br/> <b>Mural Site:</b> 26 Aberdeen (behind T.A.N. Coffee)<br/><b>Year:</b> 2022</p><p>Artist Statement: We are reflecting on the land Asoqmapskiajk (Kentville, Acadie) resides on. The ecology of the land continues to play an integral role in the growth of Valley communities. With this in mind, our mural highlights native plants in the area at a large scale. These medicinal, wild plants of Mi’kma’ki symbolize sustenance, prosperity and coming together as a community. Our mural depicts Malteweknejkl (Bloodroot), Wataptek lketu (yellow mushroom), Mikoqewik (Northern Pitcher Plant), and Msiku Nipik Wataptek Wasuek (Grass Leaved Goldenrod). We are so thankful for the Mi’kmaq language research of Don (Byrd) Awalt, giving the gift of language visibility and accessibility.</p><p>The beautifully winding Abiskaq Sibou (Cornwallis River, Riviere des Habitants) is the centerpiece of the Valley. The river represents farming and the sustenance of the community which are resurging in importance especially due to our current ecological crisis. The river connects us to the past, present and future. In Asoqmapskiajk we celebrate local language and culture, community connection to the land, and how the land takes care of us across generations.</p><p>This mural stands in Asoqmapskiajk, Mi’kma’ki, on the ancestral and unceded territory of the Mi’kmaq. This territory is covered by the Peace and Friendship Treaties that the Wabanaki People (Mi’kmaq, Wolastoqiyik, Passamaquoddy, Abenaki, and Penobscot) signed with the British Crown. These treaties did not deal with the surrender of land and resources but recognized the Mi’kmaq title and established the rules for the relationship between the parties. These rules still govern how we are to treat each other today. Everyone on this land is covered under these treaties, and it is for this reason we say we are all Treaty People, with a responsibility to respect and uphold these inherent rights. We are so grateful to live, work and learn on this territory</p>	#f0602c	brush	Mural	Mural	northernpitcherplant.jpg	209657	2a88433bc2f11dfb40ec2812c31cf47dfab30b9a	northernpitcherplant.jpg	1024	1024	None	None	None	None	<p></p>	None	None	False	None	None	None	None	None	None
Point 10	45.0756535591086	-64.4891885877154	<p><b>Artist: </b>Justin Fraser-Fong<br/><b>Mural Site: </b>245 Main Street<br/><b>Year: </b>2022</p><p>Artist Statement: The old Dominion Atlantic Railway system reminds me of stories my mother and her sister would tell me about travelling from Yarmouth to Halifax. The stories glorified the journey with epic tales of laughing, playing cards and sharing memories on the coach car. I remember hearing about days stopping in Kenville for shopping, going out to dinner, and having drinks. The tales highlighted how special and essential the railway was in connecting us as Nova Scotians, bringing us in and out of Kentville. There is something powerful about the train – the engine car commands respect in its ability to power a community of travelers.</p>	#f0602c	brush	Mural	Mural	lostdominion.jpg	210032	1a4bdcf8c49f0b38a6ae237c6331101ad407f987	lostdominion.jpg	1024	1024	None	None	None	None	<p></p>	None	None	False	None	None	None	None	None	None
