name	lat	lng	category	subcategory	description	phone	website	address	hours_mon	hours_tue	hours_wed	hours_thu	hours_fri	hours_sat	hours_sun	image_file
Ресторан El Gusto. Банкетні зали на весілля. Ресторан для святкування	49.278851	23.875361	Business	Restaurant	"<b>Ресторан El Gusto. Банкетні зали на весілля. Ресторан для святкування</b><br><i>Е 471, Stryi, L'vivs'ka oblast, Ukraine, 82427</i><br>Tel: 068 775 1897<br><a href=""https://elgusto.com.ua/"">https://elgusto.com.ua/</a>"	068 775 1897	https://elgusto.com.ua/	Е 471, Stryi, L'vivs'ka oblast, Ukraine, 82427	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	el-gusto.jpg
"Sauna ""Andrei"""	49.224002	23.8118788	Business	Restaurant	"<b>Sauna ""Andrei""</b><br><i>Ob'izna Rd, Stryi, L'vivs'ka oblast, Ukraine, 82434</i><br>Tel: 063 036 8387"	063 036 8387		Ob'izna Rd, Stryi, L'vivs'ka oblast, Ukraine, 82434	closed	closed	closed	closed	closed	closed	F: 00:00 T: 23:59	sauna-andrei.jpg
FreeHouse	49.2598353	23.8535197	Business	Bar	<b>FreeHouse</b><br><i>Tarasa Shevchenka St, 107, Stryi, L'vivs'ka oblast, Ukraine, 82402</i><br>Tel: 093 877 5287	093 877 5287		Tarasa Shevchenka St, 107, Stryi, L'vivs'ka oblast, Ukraine, 82402	F: 10:00 T: 23:00	F: 10:00 T: 23:00	F: 10:00 T: 23:00	F: 10:00 T: 23:00	F: 10:00 T: 23:00	F: 10:00 T: 23:00	F: 11:00 T: 23:00	freehouse.jpg
A la minute	49.24797909999999	23.8562901	Business	Restaurant	"<b>A la minute</b><br><i>Bolekhivska St, 49, Stryi, L'vivs'ka oblast, Ukraine, 82400</i><br>Tel: 0800 501 101<br><a href=""https://www.okko.ua/restaurants"">https://www.okko.ua/restaurants</a>"	0800 501 101	https://www.okko.ua/restaurants	Bolekhivska St, 49, Stryi, L'vivs'ka oblast, Ukraine, 82400	F: 07:00 T: 22:00	F: 07:00 T: 22:00	F: 07:00 T: 22:00	F: 07:00 T: 22:00	F: 07:00 T: 22:00	F: 07:00 T: 22:00	F: 07:00 T: 22:00	a-la-minute.jpg
"Pizzeria ""Tarantella"""	49.2573849	23.85886019999999	Business	Restaurant	"<b>Pizzeria ""Tarantella""</b><br><i>Успенська41В, Stryi, L'vivs'ka oblast, Ukraine, 82400</i><br>Tel: 099 662 3331<br><a href=""http://tarantella.com.ua/about_company"">http://tarantella.com.ua/about_company</a>"	099 662 3331	http://tarantella.com.ua/about_company	Успенська41В, Stryi, L'vivs'ka oblast, Ukraine, 82400	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	closed	pizzeria-tarantella.jpg
Dim Pitsy Taomi	49.2609738	23.8568957	Business	Restaurant	"<b>Dim Pitsy Taomi</b><br><i>Tarasa Shevchenka St, 76/а, Stryi, L'vivs'ka oblast, Ukraine, 82400</i><br><a href=""https://www.taomi.com.ua/"">https://www.taomi.com.ua/</a>"		https://www.taomi.com.ua/	Tarasa Shevchenka St, 76/а, Stryi, L'vivs'ka oblast, Ukraine, 82400	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	dim-pitsy-taomi.jpg
Restoran Versalʹ	49.27047719999999	23.8708	Business	Restaurant	"<b>Restoran Versalʹ</b><br><i>L'vivska St, 146А, Stryi, L'vivs'ka oblast, Ukraine, 82400</i><br>Tel: 067 182 9129<br><a href=""http://versal-ars.com/"">http://versal-ars.com/</a>"	067 182 9129	http://versal-ars.com/	L'vivska St, 146А, Stryi, L'vivs'ka oblast, Ukraine, 82400	closed	closed	closed	closed	closed	F: 00:00 T: 00:00	closed	restoran-versal.jpg
Vulyk	49.2219145	23.8094117	Business	Restaurant	"<b>Vulyk</b><br><i>с.Дуліби, вул. Шевченка, 416 Б (траса Київ-Стрий-Чоп, 3 км. від м.Стрий, Duliby, L'vivs'ka oblast, Ukraine, 82434</i><br>Tel: 096 130 1555<br><a href=""http://wulyk.com.ua/"">http://wulyk.com.ua/</a>"	096 130 1555	http://wulyk.com.ua/	с.Дуліби, вул. Шевченка, 416 Б (траса Київ-Стрий-Чоп, 3 км. від м.Стрий, Duliby, L'vivs'ka oblast, Ukraine, 82434	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	vulyk.jpg
Familia-banquet hall	49.25642389999999	23.84666559999999	Business	Restaurant	"<b>Familia-banquet hall</b><br><i>Tarasa Shevchenka St, 55Б, Stryi, L'vivs'ka oblast, Ukraine, 82400</i><br>Tel: 068 320 6006<br><a href=""https://storinka.menu/yR6"">https://storinka.menu/yR6</a>"	068 320 6006	https://storinka.menu/yR6	Tarasa Shevchenka St, 55Б, Stryi, L'vivs'ka oblast, Ukraine, 82400	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	familia-banquet-hall.jpg
Yuni - Misʹke Kafe	49.2558921	23.8478719	Business	Restaurant	"<b>Yuni - Misʹke Kafe</b><br><i>Konoval'tsya St, 2, Stryi, L'vivs'ka oblast, Ukraine, 82401</i><br>Tel: 096 240 5020<br><a href=""https://www.instagram.com/yuni.stryi"">https://www.instagram.com/yuni.stryi</a>"	096 240 5020	https://www.instagram.com/yuni.stryi	Konoval'tsya St, 2, Stryi, L'vivs'ka oblast, Ukraine, 82401	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	F: 10:00 T: 22:00	yuni-miske-kafe.jpg
