name	lat	lng	desc	category	subcategory	image_file	teaser_file	in_person_file	teaser_description	in_person_radius	in_person_duration	in_person_file_type	color	icon	_layout
Work at the Trestle	45.0926384659839	-64.3595983171798	"<p><b>The Artist<br/></b><a href=""http://www.ruthabernethy.com"">Ruth Abernethy</a> is an internationally renowned Canadian artist and sculptor. Her commissioned bronze pieces include figure portraits of Sir John A. Macdonald, Queen Elizabeth II, Glenn Gould, Oscar Peterson, and Abraham Lincoln. Ruth’s sculptures are installed and have become iconic on sites municipally, regionally and nationally.<br/></p><p><b>The Piece<br/></b><i>Work at the Trestle</i> (2013, bronze) features a figure portrait of T.T. Vernon Smith, civil engineer and builder of the Windsor and Annapolis Railway, which operated from 1869 to 1894. Ruth has imagined Smith throwing together an emergency workstation. He pores over his map, agonizing over miles of new railway lines washed out to sea by the Saxby Gale of 1869.<br/><br/> <b>The Location</b><br/> Waterfront Park, Wolfville, Nova Scotia<br/><br/><a href=""https://valleyartmap.ca/disclaimer/"">Disclaimer</a></p>"	Sculpture	Sculpture	Work-At-The-Trestle-for-VAM--by-John-Robichaud.jpg	Trestle_Teaser.mp3	Work_at_the_Trestle_iANcxW8.mp3	<p>Listen to Ruth Abernethy&#x27;s invitation to visit the sculpture and learn more.</p>	50	143	audio	#e8412b	person	layout1
Dominion Atlantic Railroad	45.0793382713644	-64.4947204310843	"<p><b>The Artist<br/></b>Edwin Hollett is a long-time Kings County artist known for his seascapes and paintings of tall ships. Working mostly in watercolours and acrylics, he also paints historical scenes and buildings from vintage photographs and his own research. In 2017, Edwin completed a second mural, depicting buildings from historic Kentville, on the opposite side of the warehouse wall that displays the railway mural.<br/><br/><b>The Piece<br/></b><i>The Dominion Atlantic Railway, Kentville</i> (2011, exterior oil paint) is a 60 foot (18.3 metre) mural commemorating the Kentville train station. While this scene of a steam locomotive and its passenger cars pulling in to the station is from the 1930s, the DAR ran for 100 years from 1894 to 1994. Corporate headquarters were in London, UK, and then Montreal, but its operational headquarters were always in Kentville.<br/><br/><b>The Location<br/></b>Station Lane, Kentville, Nova Scotia<br/><br/><a href=""https://valleyartmap.ca/disclaimer/"">Disclaimer</a></p>"	Mural	Mural	Dominion-Atlantic-Railroad-Station-for-VAM-by-John-Robichaud.jpg	DAR_Teaser.mp3	DAR_Railway.mp3	<p>Listen to Edwin’s invitation to visit the mural and learn more.</p>	500	135	audio	#e8412b	color_lens	layout1
Acadian Deportation Cross	45.1130073783415	-64.2793530523891	"<p><b>The Artist<br/></b><a href=""https://en.wikipedia.org/wiki/René-Arthur_Fréchet"">René-Arthur Fréchet</a> (1879–1950) was a Montreal-born architect. After earning a degree in architecture from Laval University in 1898, he became involved in the Acadian community when he married Elvina Cormier in 1903. Fréchet also designed the Memorial Church at Grand Pré, which was completed in 1922 as a place of remembrance for the Acadian people.</p><p></p><p><b>The Piece<br/></b><i>The Deportation Cross</i> (1924, wrought iron) commemorates the deportation of thousands of Acadians from this spot in 1755. Forged from wrought iron in the Gothic style, the cross symbolizes the Trinity, hope, the universe, and violence. When the cross was first unveiled, it was a pilgrimage marker beside the Dominion Atlantic Railway tracks; it was moved to its present location in 2005.<br/><br/><b>The Location<br/></b>Horton Landing, Hortonville, Nova Scotia<br/><br/><a href=""https://valleyartmap.ca/disclaimer"">Disclaimer</a></p>"	Structure	Structure	Acadian-Deportation-Cross-Landscapet-for-VAM-by-John-Robichaud.jpg	Cross_Teaser.mp3	Deportation_Cross_YmecXx1.mp3	<p>Listen to Susan Surette-Draper’s invitation to visit the sculpture and learn more.</p>	1000	157	audio	#e8412b	widgets	layout1
Disruptor	45.0988002092488	-64.4764163531363	"<p><b>The Artist</b><br/> <a href=""http://www.ruthabernethy.com/"">Ruth Abernethy</a> is an internationally renowned Canadian artist and sculptor. Her commissioned bronze pieces include figure portraits of Sir John A. Macdonald, Queen Elizabeth II, Glenn Gould, Oscar Peterson, and Abraham Lincoln. Ruth’s sculptures are installed and have become iconic on sites municipally, regionally and nationally.<br/><br/> <b>The Piece</b><br/> <i>Disruptor</i> (2019, bronze, concrete, stainless steel) shows a figure portrait of Abraham Gesner (1797–1864) within a multifaceted sculpture more than 10 metres across. Gesner was a disruptor – the inventor of kerosene and a man ahead of his time. As you walk around the design, you can read about his compelling life. And you’ll want to find out what that whale tail is doing there.<br/><br/> <b>The Location</b><br/> Chipman’s Corner, Middle Dyke Road, Port Williams, Nova Scotia<br/><br/><a href=""https://valleyartmap.ca/disclaimer"">Disclaimer</a></p>"	Sculpture	Sculpture	Disruptor-for-VAM-by-John-Robichaud.jpg	Disruptor_Teaser.mp3	Disruptor_n19CK4O.mp3	<p>Listen to Ruth Abernethy&#x27;s invitation to visit the sculpture and learn more.</p>	1000	187	audio	#e8412b	person	layout1
The Joy is Almost Too Much to Bear	45.0913695835329	-64.361352114493	"<p><b>The Artist</b></p><p><a href=""http://nistal-sculpture.com/index.html"">Nistal Prem de Boer</a> was born in Amsterdam and immigrated to Canada after earning a degree in architecture and engineering. In 1976 he moved from Montreal to Nova Scotia where,as an independent architect, he designed solar houses.In 1988 he moved to Italy,returning to Nova Scotia in 1999. His lifelong love affair with sculpture became his professional ambition, and he now creates sculptures in bronze<br/></p><p><b>The Piece</b></p><p>The Joy is Almost Too Much to Bear (2017, bronze) are words Mona Parsons wrote to her father following her liberation from the Nazis in 1945. A Nova Scotia war hero, Mona saved the lives of Allied airmen in Occupied Holland until she was betrayed and imprisoned in 1941.When she escaped four years later, ill and starving, she walked 200 kilometers to safety. Thesculpture captures her moment of liberation.</p><p></p><p><b>The Location</b></p><p>Post Office, Wolfville, Nova Scotia</p><p></p><p><a href=""https://valleyartmap.ca/disclaimer/"">Disclaimer</a></p>"	Sculpture	Sculpture	Mona-Parsons-Alt-for-VAM-by-John-Robichaud.jpg	Mona_Parsons_Teaser.mp3	Mona_Parsons_V2_1.mp3	<p>Listen to Nistal’s invitation to visit the sculpture and learn more.</p>	50	193	audio	#e8412b	person	layout1
Dr. Apple	45.0719154365168	-64.4778782998757	"<p><b>The Artist<br/></b> <a href=""http://www.ruthabernethy.com"">Ruth Abernethy</a> is an internationally renowned Canadian artist and sculptor. Her commissioned bronze pieces include figure portraits of Sir John A. Macdonald, Queen Elizabeth II, Glenn Gould, Oscar Peterson, andAbraham Lincoln. Ruth’s sculptures are installed and have become iconic on sites municipally, regionally and nationally.<br/><br/><b>The Piece<br/></b><i>Dr. Apple</i> (2015, bronze) features a figure portrait of fruit scientist Charles Eaves (1908–2006), who created North America&#x27;s first atmospherically controlled fruit storage in 1939. Beside him are the wooden apple boxes and barrel that were part of the Valley’s apple-growing landscape. Those who knew Eaves speak of him warmly. Can you see the twinkle in his eye?<br/><br/><b>The Location<br/></b>Eaves Hollow (across from the Research and Development Centre), Kentville, Nova Scotia</p><p><br/><a href=""https://valleyartmap.ca/disclaimer"">Disclaimer</a></p>"	Sculpture	Sculpture	Dr-Apple-Landscape-for-VAM-by-John-Robichaud.jpg	Dr._Apple_Teaser.mp3	Dr._Apple_hKwi3gR.mp3	<p>Listen to Ruth Abernethy&#x27;s invitation to visit the sculpture and learn more.</p>	1000	144	audio	#e8412b	person	layout1
Fountain of Grand-Pré	45.1013970808483	-64.3080927967094	"<p><b>The Artist<br/></b> <a href=""https://www.art-matug.ch/der_kuenstler/"">Willy Dinner</a> was born in the St. Gallen Rhine Valley region of Switzerland. He worked in the financial sector of a Swiss company for thirty-five years before leaving to focus on art. A mountaineer, filmmaker and pilot, he sees painting as an opportunity to share his experiences and portray what fascinates him. He is proud of the stone artwork he created in Nova Scotia.<br/><br/><b>The Piece<br/></b><i>Fountain of Grand Pré</i> (1998, basalt and stainless steel) is a trickling fountain of three rock columns linked to one another and to a central steel pole. For the artist, the basalt represents the mystery of its ancient volcanic origins, and the water represents life. But the elements of the fountain also represent the family who rebuilt and reopened the winery, and the wine that flows from there to the world. (The narrator is Cäcilia Stutz, a member of the family that owns and operates the winery.)</p><p><b><br/>The Location<br/></b>Domaine de Grand Pré, Grand Pré, Nova Scotia<br/></p><p><a href=""https://valleyartmap.ca/disclaimer/"">Disclaimer</a></p>"	Structure	Structure	Fountaine-de-Grand-Pre-for-VAM-by-John-Robichaud.jpg	Fountain_of_Grand_Pre_Teaser.mp3	Fountain_of_Grand_Pre.mp3	<p>Listen to Cäcilia Stutz’s invitation to visit the fountain and learn more.</p>	1000	121	audio	#e8412b	widgets	layout1
Statue of Evangeline	45.1093131052063	-64.3120000262343	"<p><b>The Artist<br/></b><a href=""https://en.wikipedia.org/wiki/Louis-Philippe_H%C3%A9bert"">Louis-Philippe Hébert</a> (1850–1917) was a respected Quebec artist of Acadian ancestry. He designed the statue of Evangeline and produced a model of it shortly before his death. In 1920, his son Henri Hébert, a renowned sculptor in his own right, was commissioned by the Dominion Atlantic Railway to produce a bronze statue from the model.<br/></p><p><b>The Piece<br/></b><i>Evangeline</i> (1920, bronze) is the most famous statue of Evangeline in the world. It depicts the fictional Acadian heroine of <i>Evangeline: A Tale of Acadie</i> – an 1847 poem by Henry Wadsworth Longfellow. Longfellow based the poem on a story he had heard of young lovers who were parted by the 1755 deportation of the Acadians and reunited only at the end of their lives.<br/></p><p><b>The Location<br/></b>Grand-Pré National Historic Site of Canada, Grand Pré, Nova Scotia<br/><br/><a href=""https://valleyartmap.ca/disclaimer"">Disclaimer</a></p>"	Sculpture	Sculpture	Evangeline-Landscape-by-John-Robichaud-for-Valley-Art-Map-3000x2003-sRGB_m4IoLzR.jpg	Evangeline_Teaser.mp3	Evangeline_Statue.mp3	<p>Listen to Susan Surette-Draper’s invitation to visit the sculpture and learn more.</p>	1000	123	audio	#e8412b	person	layout1
The Tide Flows	45.0912170992834	-64.3628208094742	"<p><b>The Artists</b></p><p>Michael Burt and Daniel Burt are brothers from Halifax who create art together professionally. Michael owns and operates <a href=""https://www.tracksidestudios.ca/"">Trackside Studios</a>, which employs East Coast artists. Daniel has been working with him full-time for about two years. Michael describes himself as an activist for painting legal walls – walls that artists may legally paint on to practise their skills and to learn, in constant rotation, as they add to a city’s vibrancy.</p><p></p><p><b>The Piece</b></p><p><i>The Wolfville 125 Mural (“The Tide Flows”)</i> (2018, acrylic spray paint) was commissioned to mark the town of Wolfville’s 125th anniversary of incorporation. Painted on the side of the Herbin Jewellers building, the mural captures words from the poetry of John Frederic Herbin (1860–1923), who established the business in 1885. The artists paid close attention to the contours of the wall as they incorporated iconic local features–such as chimney swifts flying out of the chimney.</p><p></p><p><b>The Location</b></p><p>Wolfville, Nova Scotia</p><p></p><p><a href=""https://valleyartmap.ca/disclaimer/"">Disclaimer</a></p>"	Mural	Mural	The-tide-Flows-for-VAM-by-John-Robichaud.jpg	As_The_Tide_Flows_Teaser.mp3	As_The_Tide_Flows.mp3	<p>Listen to Michael Burt’s invitation to visit the mural and learn more.</p>	50	94	audio	#e8412b	color_lens	layout1
Indeterminate Tillage	45.132926389074	-64.4078520918265	"<p><b>The Artist<br/></b> <a href=""https://www.erickawalker.com/"">Ericka Walker</a> is an Associate Professor of Fine Arts at the Nova Scotia College of Art and Design. Her work is housed in public, teaching, and private collections in Canada, the United States, Europe, and Asia. Her current work refers to early 20th century propaganda imagery as an aesthetic platform for addressing historical and contemporary attitudes toward interrelated notions of war, patriotism, colonialism, agriculture, and industry.<br/><br/><b>The Piece<br/></b><i>Indeterminate Tillage</i> (2016, exterior latex paint) brings to mind the colourful early 20th century murals on farm buildings throughout North America.The words on the mural – “gradual tones of labour cease” – are taken from a 1921 poem by Amelia Johnston Weatherbe, a local writer. Although the poem evokes an idealized pastoral scene, the work points to the difficulties of honouring our multi-faceted heritage.</p><p></p><p><i>This piece was installed as part of</i> <i>Uncommon Common Art. Included here with permission.</i></p><p><i><br/></i><b>The Location<br/></b>Tap Root Farms, Port Williams, Nova Scotia<br/><br/><a href=""https://valleyartmap.ca/disclaimer/"">Disclaimer</a></p>"	Mural	Mural	Indeterminate-Tillage-for-VAM-by-John-Robichaud.jpg	Tillage_Teaser.mp3	Indeterminate_Tillage.mp3	<p>Listen to Ericka&#x27;s invitation to visit the mural and learn more.</p>	1000	150	audio	#e8412b	color_lens	layout1
