name	lat	lng	desc	category	subcategory	image_file	teaser_file	in_person_file	teaser_description	in_person_radius	in_person_duration	in_person_file_type	color	icon	_layout
Old Orchard Inn	45.07388599999999	-64.401663	"<b>Old Orchard Inn</b> — Relaxed hotel offering traditional rooms & cabins, plus casual dining, an indoor pool & a spa.<br><i>153 Greenwich Rd S, Greenwich, NS B4P 0J6, Canada</i><br>Tel: (902) 542-5751<br><a href=""https://oldorchardinn.com/"">https://oldorchardinn.com/</a>"	Accommodations	Accommodations	old-orchard-inn.jpg				None	None	None			image
Oaken Barrel cookhouse	45.0853579	-64.38700949999999	"<b>Oaken Barrel cookhouse</b><br><i>10272 Nova Scotia Trunk 1, Wolfville, NS B4P 2R2, Canada</i><br><a href=""https://www.facebook.com/share/1FKBMxV4rC/"">https://www.facebook.com/share/1FKBMxV4rC/</a>"	Food & Beverages	Food & Beverages	oaken-barrel-cookhouse.jpg				None	None	None			image
The Noodle Guy	45.0956835	-64.408247	"<b>The Noodle Guy</b><br><i>964 NS-358, Port Williams, NS B0P 1T0, Canada</i><br>Tel: (902) 697-3906<br><a href=""http://thenoodle.ca/"">http://thenoodle.ca/</a>"	Food & Beverages	Food & Beverages	the-noodle-guy.jpg				None	None	None			image
The Port Pub And Bistro	45.0968284	-64.4059371	"<b>The Port Pub And Bistro</b><br><i>980 Terrys Creek Rd, Port Williams, NS B0P 1T0, Canada</i><br>Tel: (902) 542-5555<br><a href=""http://www.theportpub.com/"">http://www.theportpub.com/</a>"	Bar	Bar	the-port-pub-and-bistro.jpg				None	None	None			image
Le Caveau	45.1017431	-64.3079218	"<b>Le Caveau</b> — Gourmet Nova Scotia dishes with global flair are served at this elegant fine-dining mainstay.<br><i>11611 Evangeline Trl, Grand Pré, NS B0P 1M0, Canada</i><br>Tel: (902) 542-7177<br><a href=""https://grandprewines.com/pages/le-caveau"">https://grandprewines.com/pages/le-caveau</a>"	Food & Beverages	Food & Beverages	le-caveau.jpg				None	None	None			image
Noypi Kusina Ltd.	45.0922236	-64.36011359999999	<b>Noypi Kusina Ltd.</b><br><i>10 Harbourside Dr, Wolfville, NS B4P 2B8, Canada</i><br>Tel: (902) 670-4521	Food & Beverages	Food & Beverages	noypi-kusina-ltd.jpg				None	None	None			image
The Real Scoop Ice Cream & Espresso Shop	45.09114069999999	-64.36001019999999	"<b>The Real Scoop Ice Cream & Espresso Shop</b><br><i>10 Gaspereau Ave, Wolfville, NS B4P 2C2, Canada</i><br>Tel: (902) 697-2777<br><a href=""http://www.realscoop.ca/"">http://www.realscoop.ca/</a>"	Shopping/Retail	Shopping/Retail	the-real-scoop-ice-cream-espresso-shop.jpg				None	None	None			image
Pizza Lupa	45.092062	-64.3618403	"<b>Pizza Lupa</b><br><i>117 Front St, Wolfville, NS B4P 1A4, Canada</i><br>Tel: (902) 542-3038<br><a href=""http://pizzalupa.ca/"">http://pizzalupa.ca/</a>"	Food & Beverages	Food & Beverages	pizza-lupa.jpg				None	None	None			image
Cruisin' Gourmet	45.09199589999999	-64.3573878	<b>Cruisin' Gourmet</b><br><i>310 Main St, Wolfville, NS B4P 2G5, Canada</i><br>Tel: (613) 266-6810	Food & Beverages	Food & Beverages	cruisin-gourmet.jpg				None	None	None			image
The Rice Bowl	45.0924081	-64.35509499999999	"<b>The Rice Bowl</b><br><i>250 Main St, Wolfville, NS B4P 2J4, Canada</i><br>Tel: (902) 697-8899<br><a href=""https://thericebowlcatering.ca/"">https://thericebowlcatering.ca/</a>"	Food & Beverages	Food & Beverages	the-rice-bowl.jpg				None	None	None			image
