name	lat	lng	category	subcategory	description	phone	website	address	hours_mon	hours_tue	hours_wed	hours_thu	hours_fri	hours_sat	hours_sun	image_file
Old Orchard Inn	45.07388599999999	-64.401663	Business	Accommodation	"<b>Old Orchard Inn</b> — Relaxed hotel offering traditional rooms & cabins, plus casual dining, an indoor pool & a spa.<br><i>153 Greenwich Rd S, Greenwich, NS B4P 0J6, Canada</i><br>Tel: (902) 542-5751<br><a href=""https://oldorchardinn.com/"">https://oldorchardinn.com/</a>"	(902) 542-5751	https://oldorchardinn.com/	153 Greenwich Rd S, Greenwich, NS B4P 0J6, Canada	closed	closed	closed	closed	closed	closed	F: 00:00 T: 23:59	old-orchard-inn.jpg
Blomidon Inn	45.09147400000001	-64.3506419	Business	Accommodation	"<b>Blomidon Inn</b> — Victorian-style lodging in a grand 19th-century building, offering a free breakfast buffet & Wi-Fi.<br><i>195 Main St, Wolfville, NS B4P 2H9, Canada</i><br>Tel: (800) 565-2291<br><a href=""http://www.blomidon.ns.ca/"">http://www.blomidon.ns.ca/</a>"	(800) 565-2291	http://www.blomidon.ns.ca/	195 Main St, Wolfville, NS B4P 2H9, Canada	F: 11:00 T: 15:00	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 12:00 T: 21:00	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 11:00 T: 21:00	blomidon-inn.jpg
Pronto Pizza	45.0912018	-64.36337689999999	Business	Restaurant	"<b>Pronto Pizza</b><br><i>467 Main St, Wolfville, NS B4P 2A3, Canada</i><br>Tel: (902) 542-4100<br><a href=""https://176838.com/pronto"">https://176838.com/pronto</a>"	(902) 542-4100	https://176838.com/pronto	467 Main St, Wolfville, NS B4P 2A3, Canada	F: 11:00 T: 01:00	F: 11:00 T: 01:00	F: 11:00 T: 01:00	F: 11:00 T: 02:00	F: 11:00 T: 02:00	F: 11:00 T: 02:00	F: 16:00 T: 00:00	pronto-pizza.jpg
Oaken Barrel cookhouse	45.0853579	-64.38700949999999	Business	Restaurant	"<b>Oaken Barrel cookhouse</b><br><i>10272 Nova Scotia Trunk 1, Wolfville, NS B4P 2R2, Canada</i><br><a href=""https://www.facebook.com/share/1FKBMxV4rC/"">https://www.facebook.com/share/1FKBMxV4rC/</a>"		https://www.facebook.com/share/1FKBMxV4rC/	10272 Nova Scotia Trunk 1, Wolfville, NS B4P 2R2, Canada	closed	closed	closed	F: 11:00 T: 19:00	F: 11:00 T: 19:00	F: 11:00 T: 19:00	F: 11:00 T: 19:00	oaken-barrel-cookhouse.jpg
Tim Hortons	45.091927	-64.3596177	Business	Cafe	"<b>Tim Hortons</b> — Canadian chain for signature premium-blend coffee, plus light fare, pastries & breakfast sandwiches.<br><i>370 Main St, Wolfville, NS B4P 1C4, Canada</i><br>Tel: (902) 542-1755<br><a href=""https://locations.timhortons.ca/en/ns/wolfville/370-main-st/"">https://locations.timhortons.ca/en/ns/wolfville/370-main-st/</a>"	(902) 542-1755	https://locations.timhortons.ca/en/ns/wolfville/370-main-st/	370 Main St, Wolfville, NS B4P 1C4, Canada	F: 05:00 T: 21:00	F: 05:00 T: 21:00	F: 05:00 T: 21:00	F: 05:00 T: 21:00	F: 05:00 T: 21:00	F: 05:00 T: 21:00	F: 05:00 T: 21:00	tim-hortons.jpg
Troy Restaurant & Grill	45.0920879	-64.36416	Business	Restaurant	"<b>Troy Restaurant & Grill</b> — Mediterranean fare with locally sourced ingredients served in a relaxed space with a charming patio.<br><i>12D Elm Ave, Wolfville, NS B4P 1Z9, Canada</i><br>Tel: (902) 542-4425<br><a href=""http://www.troyrestaurant.ca/"">http://www.troyrestaurant.ca/</a>"	(902) 542-4425	http://www.troyrestaurant.ca/	12D Elm Ave, Wolfville, NS B4P 1Z9, Canada	F: 11:00 T: 20:00	F: 11:00 T: 20:00	F: 11:00 T: 20:00	F: 11:00 T: 20:00	F: 11:00 T: 21:00	F: 11:00 T: 21:00	F: 11:00 T: 20:00	troy-restaurant-grill.jpg
Lightfoot & Wolfville Vineyards	45.0955905	-64.3356245	Business	Shops	"<b>Lightfoot & Wolfville Vineyards</b><br><i>11143 Evangeline Trl, Wolfville, NS B4P 2M6, Canada</i><br>Tel: (902) 542-7774<br><a href=""http://lightfootandwolfville.com/"">http://lightfootandwolfville.com/</a>"	(902) 542-7774	http://lightfootandwolfville.com/	11143 Evangeline Trl, Wolfville, NS B4P 2M6, Canada	closed	closed	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 11:00 T: 20:00	F: 11:00 T: 17:00	F: 11:00 T: 18:00	lightfoot-wolfville-vineyards.jpg
The Noodle Guy	45.0956835	-64.408247	Business	Restaurant	"<b>The Noodle Guy</b><br><i>964 NS-358, Port Williams, NS B0P 1T0, Canada</i><br>Tel: (902) 697-3906<br><a href=""http://thenoodle.ca/"">http://thenoodle.ca/</a>"	(902) 697-3906	http://thenoodle.ca/	964 NS-358, Port Williams, NS B0P 1T0, Canada	F: 10:00 T: 15:00	F: 10:00 T: 19:00	F: 10:00 T: 19:00	F: 10:00 T: 19:00	F: 10:00 T: 19:00	F: 10:00 T: 19:00	closed	the-noodle-guy.jpg
Wolfville Farmers' Market	45.09279799999999	-64.36512499999999	Business	Shops	"<b>Wolfville Farmers' Market</b><br><i>24 Elm Ave, Wolfville, NS B4P 1Z9, Canada</i><br>Tel: (902) 697-3344<br><a href=""http://www.wolfvillefarmersmarket.ca/"">http://www.wolfvillefarmersmarket.ca/</a>"	(902) 697-3344	http://www.wolfvillefarmersmarket.ca/	24 Elm Ave, Wolfville, NS B4P 1Z9, Canada	closed	closed	closed	closed	closed	F: 08:30 T: 13:00	closed	wolfville-farmers-market.jpg
Joe's Food Emporium	45.0916022	-64.36218	Business	Restaurant	"<b>Joe's Food Emporium</b> — Lively pub since 1977 offering a wide-ranging menu of international comfort food & a sidewalk patio.<br><i>434 Main St, Wolfville, NS B4P 2A1, Canada</i><br>Tel: (902) 542-3033<br><a href=""http://www.joesfoodemporium.ca/"">http://www.joesfoodemporium.ca/</a>"	(902) 542-3033	http://www.joesfoodemporium.ca/	434 Main St, Wolfville, NS B4P 2A1, Canada	F: 10:00 T: 23:00	F: 10:00 T: 23:00	F: 10:00 T: 23:00	F: 10:00 T: 23:00	F: 10:00 T: 00:00	F: 10:00 T: 00:00	F: 10:00 T: 23:00	joe-s-food-emporium.jpg
